project,instrument all,instrument source
thrau-jarchivelib,32.154,6.997
Mastercard-client-encryption-java,247.892,11.167
alessio29-savagebot,73.272,21.472
dubasdey-portable-ftp-server,17.543,5.791
LarryDpk-Google-Bard,266.04,13.899
f4b6a3-tsid-creator,7.776,7.686
google-escapevelocity,74.514,10.151
cm-heclouds-onenet-studio-api-java-sdk,19.358,11.71
deniswsrosa-liquicouch,113.976,8.65
massigerardi-ta4j-strategy-parser,23.048,8.311
meteoinfo-wContour,20.745,20.635
matthiaszimmermann-ethereum-paper-wallet,111.641,9.974
eclipse-jbom,38.241,9.514
jai-imageio-jai-imageio-core,28.454,28.36
seintur-jmixer,35.813,6.041
davidmoten-rtree,267.087,37.78
apache-commons-graph,19.988,19.917
devopshydclub-vprofile-repo,150.276,7.119
Nilhcem-FakeSMTP,12.534,7.611
bernardosulzbach-dungeon,45.223,29.199
ExpediaGroup-jasvorno,76.027,9.833
xjodoin-torpedoquery,217.523,14.738
gitbucket-markedj,325.451,8.154
getodk-javarosa,324.32,42.003
open-eid-cdoc4j,133.188,10.296
sritejakv-splitwise-java,217.672,6.7
rsatrio-Keycloak-Federation-ExistingDB,239.127,6.551
actiontech-dble,235.78,228.868
twitter-netty-http2,17.647,9.248
codelibs-elasticsearch-sstmpl,360.665,9.781
lzgabel-camunda-cloud-bpmn-converter,67.309,22.208
BingAds-BingAds-Java-SDK,213.458,213.353
sgoertzen-sonar-break-maven-plugin,30.934,7.953
steveash-jopenfst,58.386,11.533
TheCookieLab-poloniex-api-java,55.302,10.389
qzw1210-JustAuth,88.93,15.158
yuqi1129-calcite-test,153.275,29.35
amzn-amazon-pay-api-sdk-java,218.699,11.222
liudongdong0909-mybatis-generator-core-fix,49.83,37.504
gabrie-allaigre-sonar-gitlab-plugin,115.272,21.259
Celos-avro-json-decoder,47.973,6.579
usnistgov-Lineage-Mapper,35.511,11.506
sachin-handiekar-jInstagram,17.803,13.39
jhalterman-lyra,18.954,11.31
zhining-lu-netty-websocket-proxy,108.773,9.284
webbynet-protostuff-runtime-proto,14.939,7.805
soot-oss-heros,221.343,19.058
alipay-ams-java-sdk,16.139,11.675
ZhongAnTech-dmds,86.849,39.305
xcsp3team-XCSP3-Java-Tools,31.657,31.574
xspec-xspec-maven-plugin-1,332.272,14.774
sagiegurari-fax4j,235.274,20.951
Sweetiee-yi-Jaba,7.574,7.505
niesfisch-java-code-tracer,16.741,7.651
sonian-elasticsearch-jetty,301.53,13.738
opentimestamps-java-opentimestamps,63.811,13.337
pagehelper-Mybatis-PageHelper,116.636,16.552
saoj-mentabean,21.696,18.296
HdrHistogram-HdrHistogram,12.28,12.208
twitter-sbf,439.187,12.854
mesosphere-marathon-client,187.673,9.817
inversoft-jackson5,67.631,6.706
sigopt-sigopt-java,213.418,9.883
InfoSec812-sonar-auth-google,134.065,7.003
JodaOrg-joda-time-hibernate,84.83,8.055
mocnik-science-geogrid,22.993,8.616
StarlangSoftware-TurkishSentiNet,5.722,5.639
btrplace-scheduler,279.4,90.301
Isaac315-sql-translator,113.3,9.17
jpenren-thymeleaf-ui-dialect,32.275,14.935
Thare-Lam-fast-elasticsearch-query-builder,238.664,17.317
Coreoz-Wisp,314.793,12.503
raydac-java-binary-block-parser,33.628,32.678
hsiafan-apk-parser,96.58,12.085
razorpay-razorpay-java,321.161,10.231
weibocom-yar-java,86.432,8.321
