project,module,PROJECT,THIRD_PARTY_LIB,TEST,TEST_METHOD,TEST_FRAMEWORK,TEST_FIXTURE,PROJECT_AND_FIXTURE,THIRD_PARTY_LIB_AND_FIXTURE,TEST_AND_FIXTURE,TEST_METHOD_AND_FIXTURE,TEST_FRAMEWORK_AND_FIXTURE,AJC_PROJECT,AJC_THIRD_PARTY_LIB,AJC_TEST,AJC_TEST_METHOD,AJC_TEST_FRAMEWORK,AJC_TEST_FIXTURE,AJC_PROJECT_AND_FIXTURE,AJC_THIRD_PARTY_LIB_AND_FIXTURE,AJC_TEST_AND_FIXTURE,AJC_TEST_METHOD_AND_FIXTURE,AJC_TEST_FRAMEWORK_AND_FIXTURE,AJC_OTHER,AJC_UNKNOWN,OTHER,UNKNOWN,total samples (mop),total samples (all),total samples (excluded ajc)
2captcha-2captcha-java,profile.jfr,18,20,0,0,0,0,0,0,0,0,0,218,15467,63,0,736,0,0,0,0,0,0,111,277,0,0,16910,23644,38
3redronin-mu-server,profile.jfr,155,1360,43,44,0,0,4,40,1,0,0,1696,9303,437,1508,3615,16,3,21,6,0,0,106,61,0,0,18419,38549,1647
520github-fw-parallel-task,profile.jfr,12,0,1,0,1,0,0,0,0,0,0,173,48,6,27,157,0,0,0,0,0,0,106,2,0,0,533,6577,14
520github-fw-perf-test,profile.jfr,9,0,0,0,1,0,0,0,0,0,0,208,0,0,8,360,0,0,0,0,0,0,104,5,0,0,695,1237,10
520github-fw-statemachine,profile.jfr,12,0,0,0,0,0,0,0,0,0,0,220,0,8,23,387,0,0,0,0,0,0,105,2,0,0,757,792,12
6tail-lunar-java,profile.jfr,51,0,0,1,0,0,0,0,0,0,0,1399,0,60,253,1140,0,0,0,0,0,0,108,4,0,0,3016,3220,52
6tail-tyme4j,profile.jfr,48,0,0,1,0,0,0,0,0,0,0,432,0,0,87,806,0,0,0,0,0,0,108,3,0,0,1485,1588,49
abahgat-suffixtree,profile.jfr,241,0,0,3,0,0,0,0,0,0,0,200,0,1,23,507,0,0,0,0,0,0,108,1,0,0,1084,1261,244
AccelerationNet-access2csv,profile.jfr,18,12,0,0,1,0,0,0,0,0,0,229,309,1,94,137,0,0,0,0,0,0,101,0,0,0,902,949,31
acegi-xml-format-maven-plugin,profile.jfr,1,1,0,0,0,0,0,13,10,0,0,305,666,5,17,575,16,0,9878,153,0,0,110,247,0,0,11997,12227,25
actiontech-dble,profile.jfr,13,53,0,1,0,0,0,0,0,0,0,6404,14859,1859,1621,5388,0,0,0,0,0,0,111,75,0,0,30384,32614,67
AdamBien-jwtenizr,profile.jfr,18,6,0,0,0,0,0,0,0,0,0,417,2118,0,9,384,0,0,0,0,0,0,110,10,0,0,3072,3246,24
AdamBien-xplr,profile.jfr,15,0,0,0,1,0,0,0,0,0,0,189,9,1,31,375,0,0,0,0,0,0,109,2,0,0,732,796,16
addthis-stream-lib,profile.jfr,76879,1044,119664,101940,0,0,0,0,0,0,0,534,636,81,932,1816,9,0,2,0,0,0,112,6,0,1,303656,338459,299528
