project,branch,line
2captcha-2captcha-java,0.403225806,0.292134831
520github-fw-perf-test,0.90625,0.922297297
520github-fw-statemachine,0.428571429,0.657754011
AccelerationNet-access2csv,0.1,0.263157895
actiontech-dble,0.080808278,0.070677802
AdamBien-jwtenizr,0.423076923,0.901960784
AdamBien-xplr,0.661290323,0.778301887
addthis-stream-lib,0.781914894,0.828333936
adobe-commerce-cif-magento-graphql,0.019915303,0.027727377
adobe-htl-tck,0.074324324,0.056379822
aelstad-keccakj,0.641176471,0.768518519
aerogear-aerogear-unifiedpush-java-client,0.307017544,0.614325069
afrunt-jach,0.491477273,0.589975349
agarciadom-xeger,0.5,0.740740741
agentgt-jatl,0.783410138,0.667752443
agido-malter-logback-elasticsearch-appender,0.107142857,0.243440233
aidhog-blabel,0.127629734,0.183554548
ainslec-picocog,0.243243243,0.515337423
akamai-NetStorageKit-Java,0.543859649,0.669477234
albfernandez-javadbf,0.739076155,0.807496823
aled-jsi,0.768382353,0.823394495
aleksandr-m-gitflow-maven-plugin,0.047674419,0.04324684
alex2chen-j-statemachine,0.006315789,0.004933399
alexcojocaru-elasticsearch-maven-plugin,0.203271028,0.227941176
alexr007-ultimate8,0,0.000769231
alfasoftware-soapstone,0.791139241,0.850047755
aliyun-aliyun-log-flink-connector,0.010504202,0.004583652
aliyun-aliyun-log-logback-appender,0.555555556,0.647342995
almondtools-stringsearchalgorithms,0.921875,0.947202522
alt236-apkdetails,0.052173913,0.039333048
amazon-archives-amazon-kinesis-connectors,0.122699387,0.214953271
amazon-archives-aws-request-signing-apache-interceptor,0.708333333,0.947368421
amazon-ion-ion-docs,0.589108911,0.680544436
amihaiemil-docker-java-api,0.676470588,0.881682734
amihaiemil-zold-java-client,0.375,0.542222222
andree-surya-moji4j,0.960784314,0.982905983
andylamp-BPlusTree,0.585204756,0.592141671
Ant-Grand-Grand,0.782407407,0.782724252
antherd-sm-crypto,0.691176471,0.711790393
Antibrumm-jackson-antpathfilter,0.310457516,0.451530612
antlr-antlrworks,0.059362824,0.042224064
antlr-stringtemplate3,0.53798127,0.75447083
anubhavshukla-properties-to-yaml-converter,0.738095238,0.7875
apache-commons-cli,0.940540541,0.951065509
apache-commons-codec,0.927280551,0.945071646
apache-dubbo-rpc-jsonrpc,0.166666667,0.353535354
apache-maven-ear-plugin,0.118055556,0.104113111
apache-maven-verifier-plugin,0.240875912,0.318471338
apache-pdfbox-jbig2,0.314622001,0.400783929
apache-sling-org-apache-sling-feature,0.434511435,0.530692659
apache-sling-org-apache-sling-servlets-resolver,0.327389444,0.407393146
apanimesh061-VaderSentimentJava,0.867647059,0.950310559
apereo-cas-server-security-filter,0.553030303,0.355844156
appnexus-ElasticNet4j,0.478070175,0.364721485
AquaticInformatics-aquarius-sdk-java,0.506849315,0.014267756
archervanderwaal-storm-server,0.089403974,0.202097902
Ardesco-driver-binary-downloader-maven-plugin,0.47012987,0.610126582
asaflevy-SelenuimExtend,0.173076923,0.232722144
Asana-java-asana,0.798742138,0.293836598
asciidoctor-asciidoclet,0.707964602,0.828205128
ashish-chopra-Structures,0.496124031,0.545454545
ashwanthkumar-gocd-janitor,0.513888889,0.683890578
ashwanthkumar-slack-java-webhook,0.34375,0.355421687
assertthat-selenium-shutterbug,0.05027933,0.068020305
atorstling-bychan,0.487654321,0.81085044
Atrox-haikunatorjava,0.8125,0.837209302
atteo-evo-inflector,0.730769231,0.834586466
attoparser-attoparser,0.646462019,0.698415141
augustd-burp-suite-jsonpath,0.341463415,0.176895307
aurbroszniowski-os-platform-finder,0.305555556,0.5
authlete-authlete-java-common,0.290528762,0.217865182
AuthorizeNet-sample-code-java,0.190553746,0.468461229
AuthorizeNet-sdk-java,0.042307692,0.201571268
