project,nomop,ltw,ctw,abs,rel
thrau-jarchivelib,3.258,17.857,3.385,0.127,1.039
Mastercard-client-encryption-java,5.591,158.334,7.495,1.904,1.341
alessio29-savagebot,2.302,70.05,3.435,1.133,1.492
dubasdey-portable-ftp-server,1.638,15.577,1.809,0.171,1.104
LarryDpk-Google-Bard,3.137,135.175,4.159,1.022,1.326
f4b6a3-tsid-creator,7.894,24.987,18.813,10.919,2.383
google-escapevelocity,2.173,27.714,2.767,0.594,1.273
cm-heclouds-onenet-studio-api-java-sdk,1.662,22.367,1.901,0.239,1.144
deniswsrosa-liquicouch,1.98,20.224,2.117,0.137,1.069
massigerardi-ta4j-strategy-parser,1.566,16.846,2.438,0.872,1.557
meteoinfo-wContour,1.445,14.139,1.487,0.042,1.029
matthiaszimmermann-ethereum-paper-wallet,5.938,46.951,6.582,0.644,1.108
eclipse-jbom,12.116,43.576,12.593,0.477,1.039
jai-imageio-jai-imageio-core,2.91,21.465,3.117,0.207,1.071
seintur-jmixer,1.703,39.289,2.164,0.461,1.271
davidmoten-rtree,10.269,475.501,319.489,309.22,31.112
apache-commons-graph,4.231,38.328,22.35,18.119,5.282
devopshydclub-vprofile-repo,1.973,57.608,2.563,0.59,1.299
Nilhcem-FakeSMTP,1.85,15.936,1.971,0.121,1.065
bernardosulzbach-dungeon,1.992,21.725,2.128,0.136,1.068
ExpediaGroup-jasvorno,2.166,49.553,2.639,0.473,1.218
xjodoin-torpedoquery,2.229,68.865,2.83,0.601,1.27
gitbucket-markedj,1.747,20.02,2.026,0.279,1.16
getodk-javarosa,5.264,102.183,32.571,27.307,6.188
open-eid-cdoc4j,15.829,62.696,19.299,3.47,1.219
sritejakv-splitwise-java,2.017,62.035,2.64,0.623,1.309
rsatrio-Keycloak-Federation-ExistingDB,2.943,95.361,6.056,3.113,2.058
actiontech-dble,9.767,160.615,11.066,1.299,1.133
twitter-netty-http2,1.664,21.265,1.833,0.169,1.102
codelibs-elasticsearch-sstmpl,11.13,448.236,63.346,52.216,5.691
lzgabel-camunda-cloud-bpmn-converter,2.461,54.957,3.172,0.711,1.289
BingAds-BingAds-Java-SDK,36.125,265.37,37.307,1.182,1.033
sgoertzen-sonar-break-maven-plugin,1.92,22.638,2.231,0.311,1.162
steveash-jopenfst,1.598,17.965,2.279,0.681,1.426
TheCookieLab-poloniex-api-java,1.848,35.087,2.2,0.352,1.19
qzw1210-JustAuth,3.072,28.043,3.63,0.558,1.182
yuqi1129-calcite-test,1.722,56.549,1.998,0.276,1.16
amzn-amazon-pay-api-sdk-java,4.028,252.612,9.541,5.513,2.369
liudongdong0909-mybatis-generator-core-fix,1.415,16.954,1.521,0.106,1.075
gabrie-allaigre-sonar-gitlab-plugin,14.074,99.239,15.205,1.131,1.08
Celos-avro-json-decoder,1.613,26.512,1.722,0.109,1.068
usnistgov-Lineage-Mapper,2.038,18.289,2.473,0.435,1.213
sachin-handiekar-jInstagram,3.637,46.908,6.344,2.707,1.744
jhalterman-lyra,8.322,29.511,8.491,0.169,1.02
zhining-lu-netty-websocket-proxy,1.717,33.787,2.021,0.304,1.177
webbynet-protostuff-runtime-proto,1.538,19.867,1.692,0.154,1.1
soot-oss-heros,2.105,73.393,3.281,1.176,1.559
alipay-ams-java-sdk,1.966,24.71,2.232,0.266,1.135
ZhongAnTech-dmds,1.633,30.688,1.91,0.277,1.17
xcsp3team-XCSP3-Java-Tools,3.584,21.057,7.46,3.876,2.081
xspec-xspec-maven-plugin-1,7.816,324.726,100.75,92.934,12.89
sagiegurari-fax4j,4.108,158.426,6.914,2.806,1.683
Sweetiee-yi-Jaba,5.6,113.613,96.083,90.483,17.158
niesfisch-java-code-tracer,1.453,15.497,1.549,0.096,1.066
sonian-elasticsearch-jetty,6.094,214.144,11.065,4.971,1.816
opentimestamps-java-opentimestamps,14.376,36.565,13.287,-1.089,0.924
pagehelper-Mybatis-PageHelper,5.89,101.609,10.894,5.004,1.85
saoj-mentabean,1.969,18.061,2.469,0.5,1.254
HdrHistogram-HdrHistogram,39.548,67.504,47.269,7.721,1.195
twitter-sbf,2.844,24.158,7.4,4.556,2.602
mesosphere-marathon-client,2.213,52.606,2.719,0.506,1.229
inversoft-jackson5,2.192,37.371,2.367,0.175,1.08
sigopt-sigopt-java,3.083,171.594,4.969,1.886,1.612
InfoSec812-sonar-auth-google,1.799,26.421,1.959,0.16,1.089
JodaOrg-joda-time-hibernate,2.124,67.508,2.89,0.766,1.361
mocnik-science-geogrid,15.517,97.45,80.645,65.128,5.197
StarlangSoftware-TurkishSentiNet,2.865,61.075,60.059,57.194,20.963
btrplace-scheduler,64.32,1014.753,730.67,666.35,11.36
Isaac315-sql-translator,1.616,51.598,1.79,0.174,1.108
jpenren-thymeleaf-ui-dialect,1.818,43.259,5.726,3.908,3.15
Thare-Lam-fast-elasticsearch-query-builder,1.67,34.261,1.948,0.278,1.166
Coreoz-Wisp,32.597,62.689,33.425,0.828,1.025
raydac-java-binary-block-parser,83.847,911.677,103.196,19.349,1.231
