project,nomop,ltw,abs,rel
2captcha-2captcha-java,33.878,109.252,75.374,3.224
3redronin-mu-server,72.92,209.328,136.408,2.87
520github-fw-parallel-task,31.432,35.318,3.886,1.123
520github-fw-perf-test,1.695,6.036,4.341,3.561
520github-fw-statemachine,1.474,3.727,2.253,2.528
6tail-lunar-java,2.184,17.257,15.073,7.901
6tail-tyme4j,1.511,7.741,6.23,5.123
abahgat-suffixtree,1.478,5.456,3.978,3.691
AccelerationNet-access2csv,1.447,7.037,5.59,4.863
acegi-xml-format-maven-plugin,1.832,61.932,60.1,33.805
actiontech-dble,9.767,160.615,150.848,16.444
AdamBien-jwtenizr,1.806,15.362,13.556,8.506
AdamBien-xplr,1.473,3.416,1.943,2.319
addthis-stream-lib,90.555,1815.3,1724.745,20.046
adobe-commerce-cif-magento-graphql,2.109,26.231,24.122,12.437
adobe-htl-tck,1.462,12.227,10.765,8.363
aehrc-ontology-core,2.85,104.423,101.573,36.639
aelstad-keccakj,73.936,97.348,23.412,1.316
aerogear-aerogear-unifiedpush-java-client,2.783,176.833,174.05,63.54
afranken-jmeter-analysis-maven-plugin,2.309,35.436,33.127,15.346
Afrozaar-wp-api-v2-client-java,1.991,46.803,44.812,23.507
afrunt-jach,1.535,5.822,4.287,3.792
agarciadom-xeger,2.855,43.422,40.567,15.209
agentgt-jatl,1.677,5.11,3.433,3.047
agido-malter-logback-elasticsearch-appender,1.618,10.842,9.224,6.7
agiledon-payroll-ddd,1.948,71.562,69.614,36.736
AgNO3-jcifs-ng,2.516,21.515,18.999,8.551
agoncal-agoncal-application-petstore-ee7,2.576,70.293,67.717,27.287
agrison-redux4j,3.416,19.167,15.751,5.61
aidhog-blabel,1.451,7.178,5.727,4.946
ainslec-picocog,1.773,3.772,1.999,2.127
ajantis-java-crdt,1.355,4.489,3.134,3.312
akamai-NetStorageKit-Java,1.547,5.278,3.731,3.411
AlanDelip-SpringBoot-Template,2.472,107.351,104.879,43.426
alanhay-html-exporter,3.663,183.188,179.525,50.01
albfernandez-itext2,4.271,104.019,99.748,24.354
albfernandez-javadbf,5.757,32.372,26.615,5.623
aled-jsi,2.005,17.3,15.295,8.628
aleksandr-m-gitflow-maven-plugin,2.048,8.477,6.429,4.139
alessio29-savagebot,2.302,70.05,67.748,30.43
alex2chen-j-statemachine,1.416,3.141,1.725,2.218
alexcojocaru-elasticsearch-maven-plugin,2.743,77.809,75.066,28.366
alexnederlof-Jasper-report-maven-plugin,4.358,137.145,132.787,31.469
AlexP11223-JavaSpringMvcBlog,1.766,21.547,19.781,12.201
alexr007-ultimate8,1.438,3.522,2.084,2.449
alfasoftware-soapstone,5.696,174.527,168.831,30.64
alibaba-rsocket-broker-rsocket-broker-gateway-mqtt,2.978,22.815,19.837,7.661
alipay-ams-java-sdk,1.966,24.71,22.744,12.568
aliyun-aliyun-log-flink-connector,1.892,7.462,5.57,3.943
aliyun-aliyun-log-logback-appender,12.486,36.499,24.013,2.923
almondtools-stringsearchalgorithms,7.865,236.304,228.439,30.045
almson-almson-refcount,7.547,36.177,28.63,4.793
alt236-apkdetails,1.469,6.736,5.267,4.585
amazon-archives-amazon-kinesis-connectors,3.026,100.447,97.421,33.194
amazon-archives-aws-dynamodb-stream-eventbridge-fanout,2.656,93.147,90.491,35.07
amazon-archives-aws-request-signing-apache-interceptor,1.456,7.079,5.623,4.861
amazon-archives-aws-ssm-java-caching-client,2.753,100.437,97.684,36.482
amazon-archives-dynamodb-key-diagnostics-library,2.413,96.055,93.642,39.807
amazon-archives-pocket-etl,6.787,207.725,200.938,30.606
amazon-ion-ion-docs,1.852,18.342,16.49,9.903
amihaiemil-docker-java-api,1.945,19.533,17.588,10.042
amihaiemil-zold-java-client,1.558,14.436,12.878,9.265
amzn-amazon-pay-api-sdk-java,4.028,252.612,248.584,62.714
andree-surya-moji4j,1.687,3.784,2.097,2.243
andylamp-BPlusTree,243.079,267.431,24.352,1.1
Ant-Grand-Grand,4.026,52.453,48.427,13.028
antherd-sm-crypto,6.537,8.418,1.881,1.287
Antibrumm-jackson-antpathfilter,2.209,112.603,110.394,50.974
antlr-antlrworks,1.466,12.792,11.326,8.725
