project,num_of_commits,first_commit_timestamp,sloc
2captcha-2captcha-java,14,1592326929,2247
3redronin-mu-server,900,1512479015,40344
520github-fw-perf-test,2,1677222219,763
520github-fw-statemachine,3,1677459478,832
AccelerationNet-access2csv,35,1386706967,362
actiontech-dble,4123,1479281795,208300
AdamBien-jwtenizr,108,1557322529,450
AdamBien-xplr,41,1450253682,539
addthis-stream-lib,386,1300214606,8654
adobe-commerce-cif-magento-graphql,67,1556279744,111652
adobe-htl-tck,118,1413927750,761
aelstad-keccakj,45,1413985487,3614
aerogear-aerogear-unifiedpush-java-client,315,1369996543,1299
afrunt-jach,157,1492809047,3893
agarciadom-xeger,41,1359400396,204
agentgt-jatl,96,1285359692,2300
agido-malter-logback-elasticsearch-appender,191,1428460758,1661
aidhog-blabel,31,1427750231,4683
ainslec-picocog,23,1492603231,407
ajantis-java-crdt,22,1455830724,983
akamai-NetStorageKit-Java,86,1408626990,2041
albfernandez-javadbf,495,1054719153,7286
aled-jsi,58,1204399173,5785
aleksandr-m-gitflow-maven-plugin,412,1398284721,2638
alex2chen-j-statemachine,5,1545213199,5921
alexcojocaru-elasticsearch-maven-plugin,397,1389891110,5896
alexr007-ultimate8,28,1530079660,2269
alfasoftware-soapstone,145,1550243430,3808
alipay-ams-java-sdk,13,1571629867,6863
aliyun-aliyun-log-flink-connector,227,1512377841,2711
aliyun-aliyun-log-logback-appender,184,1513219818,450
almondtools-stringsearchalgorithms,250,1447359729,10355
alt236-apkdetails,83,1511199166,4805
amazon-archives-amazon-kinesis-connectors,30,1385410214,4423
amazon-archives-aws-request-signing-apache-interceptor,16,1509046139,301
amazon-ion-ion-docs,232,1460061470,234
amihaiemil-docker-java-api,516,1517130396,9709
amihaiemil-zold-java-client,80,1547488870,1424
andree-surya-moji4j,19,1467936796,336
andylamp-BPlusTree,54,1432100145,3233
Ant-Grand-Grand,477,1074721336,4658
antherd-sm-crypto,17,1628601829,553
Antibrumm-jackson-antpathfilter,46,1422649385,1067
antlr-antlrworks,696,1113959433,42525
antlr-stringtemplate3,194,1110932243,8735
anubhavshukla-properties-to-yaml-converter,19,1534359355,513
apache-commons-cli,1448,1023732076,6896
apache-commons-codec,2604,1051293060,23976
apache-dubbo-rpc-jsonrpc,42,1427905430,283
apache-maven-ear-plugin,648,1120486186,5256
apache-maven-verifier-plugin,172,1115025450,397
apache-pdfbox-jbig2,110,1508177098,10583
apache-sling-org-apache-sling-feature,398,1509718010,8864
apache-sling-org-apache-sling-servlets-resolver,641,1235310169,8404
apanimesh061-VaderSentimentJava,59,1460332963,888
apereo-cas-server-security-filter,163,1407338799,1089
appnexus-ElasticNet4j,100,1505485526,1794
AquaticInformatics-aquarius-sdk-java,210,1502217157,22021
archervanderwaal-storm-server,53,1502604975,3092
Ardesco-driver-binary-downloader-maven-plugin,361,1334869441,2294
asaflevy-SelenuimExtend,11,1331722795,1667
Asana-java-asana,312,1425506376,5655
asciidoctor-asciidoclet,150,1368418830,1369
ashenwgt-awesome-bdd-with-cucumber,4,1515770941,81
ashish-chopra-Structures,139,1348398283,3600
ashwanthkumar-gocd-janitor,101,1446945511,1004
ashwanthkumar-slack-java-webhook,58,1422033232,514
assertthat-selenium-shutterbug,249,1466299730,1809
atorstling-bychan,410,1359211096,5576
Atrox-haikunatorjava,35,1429277056,165
atteo-evo-inflector,56,1325183815,707
attoparser-attoparser,330,1347734858,17205
augustd-burp-suite-jsonpath,46,1502397923,957
aurbroszniowski-os-platform-finder,51,1401738706,399
authlete-authlete-java-common,1361,1412598223,28339
AuthorizeNet-sample-code-java,331,1431369641,4306
