project,collection status,# traces,# unique traces,# traces based on unique file,# unique traces based on unique file,# events,# unique events,duplicated traces,duplicated events,(without raw) # traces based on unique file,(without raw) # unique traces based on unique file,(without raw) # events,(without raw) # unique events,(without raw) duplicated traces,(without raw) duplicated events
waynedyck-gwt-gantt,OK,97,35,97,35,316,128,62,188,93,32,305,121,61,184
gongdaowen-ofdparser,OK,792653,3326,792653,3326,10560362,5267412,789327,5292950,781046,3314,9364276,4631297,777732,4732979
webmate-io-webmate-sdk-java,OK,3403,736,3403,736,86077,62849,2667,23228,3350,728,65749,52456,2622,13293
junichi11-netbeans-color-codes-preview,OK,36695,1619,36695,1619,192640,39904,35076,152736,36671,1601,170284,26777,35070,143507
forgemo-bittrex-java-client,OK,29867,1212,29867,1212,177906,46321,28655,131585,29656,1199,158708,35083,28457,123625
smsapi-smsapi-java-client,OK,2,2,2,2,33,33,0,0,2,2,33,33,0,0
SAP-archive-cloud-paulpredicts,OK,373046,12052,373046,12052,5977116,4518428,360994,1458688,373018,12031,5594532,4241985,360987,1352547
stoicflame-ofx4j,OK,26706,493,26708,500,127272,37299,26208,89973,26694,488,108622,27225,26206,81397
george-haddad-cardme,OK,7514,982,7514,982,97987,19357,6532,78630,7507,976,96269,18294,6531,77975
mulesoft-labs-rhinodo,OK,13507,437,13507,437,96176,14333,13070,81843,13413,429,82502,7255,12984,75247
SvenEwald-xmlbeam,OK,1101242,1531,1101242,1531,6403109,194262,1099711,6208847,1097852,1510,6248717,114441,1096342,6134276
afranken-jmeter-analysis-maven-plugin,OK,8717,644,8717,644,68599,39211,8073,29388,8702,630,60694,33768,8072,26926
reckart-tt4j,OK,89,47,89,47,7365208,7365072,42,136,86,44,3685731,3685595,42,136
jchambers-id-obfuscator,OK,10100,388,10100,388,101499,9359,9712,92140,10094,383,100643,8567,9711,92076
ogrodnek-java_fathom,OK,28,3,28,3,107,15,25,92,26,2,91,7,24,84
hellige-ccs,OK,16986,991,16986,991,66633,13790,15995,52843,16977,984,63150,11777,15993,51373
sorra-TraceSonar,OK,13,9,13,9,57,34,4,23,10,7,24,17,3,7
codeforamerica-pdfparser,OK,6700,650,6700,650,102929,21558,6050,81371,6494,643,88575,12177,5851,76398
acegi-xml-format-maven-plugin,OK,15877,960,15877,960,79788,8060,14917,71728,15866,950,77909,6757,14916,71152
gregorriegler-babdev-spring,OK,30,20,30,20,137,87,10,50,25,16,125,77,9,48
dyng-polling,OK,109,36,109,36,300,165,73,135,105,33,201,108,72,93
hankcs-hanlp-lucene-plugin,OK,9656,1284,9656,1284,140315,80523,8372,59792,9644,1274,37228,11420,8370,25808
JoonasVali-jartin,OK,26,18,26,18,55,35,8,20,25,17,54,34,8,20
thrau-jarchivelib,OK,11015,785,11015,785,188281,134703,10230,53578,10889,776,172464,119599,10113,52865
julietkilo-CANBabel,OK,32346,204,32346,204,91823,5840,32142,85983,32338,198,90754,4852,32140,85902
kevin-wang001-poi-el,OK,4588,572,4588,572,89570,48475,4016,41095,4575,563,89235,48298,4012,40937
rjstanford-spreedly-java,OK,16,9,16,9,53,37,7,16,13,7,25,19,6,6
shapesecurity-salvation,OK,27576,675,27576,675,151141,5528,26901,145613,27572,672,150302,4977,26900,145325
codelion-gramtest,OK,25611590,1029,25611590,1029,267788782,72416,25610561,267716366,25611585,1025,267787525,71302,25610560,267716223
exchange-core-orderbook,OK,29901,1777,29901,1777,149911,24265,28124,125646,29885,1762,145472,21371,28123,124101
jzy3d-jGL,OK,27,15,27,15,61,38,12,23,24,12,52,29,12,23
