project,dynamic,static
2captcha-2captcha-java,0,0
3redronin-mu-server,299838,68
520github-fw-parallel-task,0,0
520github-fw-perf-test,0,0
520github-fw-statemachine,0,0
6tail-lunar-java,0,0
6tail-tyme4j,0,0
abahgat-suffixtree,0,0
AccelerationNet-access2csv,140,4
acegi-xml-format-maven-plugin,0,0
actiontech-dble,1633,10
AdamBien-jwtenizr,4,1
AdamBien-xplr,0,0
addthis-stream-lib,1014,15
adobe-commerce-cif-magento-graphql,0,0
adobe-htl-tck,12,1
aehrc-ontology-core,21,3
aelstad-keccakj,379829,26
aerogear-aerogear-unifiedpush-java-client,16869,3
afranken-jmeter-analysis-maven-plugin,2240,14
Afrozaar-wp-api-v2-client-java,75,1
afrunt-jach,1151,4
agarciadom-xeger,4202,1
agentgt-jatl,0,0
agido-malter-logback-elasticsearch-appender,0,0
agiledon-payroll-ddd,0,0
AgNO3-jcifs-ng,5,3
agoncal-agoncal-application-petstore-ee7,0,0
agrison-redux4j,3,1
aidhog-blabel,238,12
ainslec-picocog,0,0
ajantis-java-crdt,28,2
akamai-NetStorageKit-Java,104,20
AlanDelip-SpringBoot-Template,29,8
alanhay-html-exporter,300,12
albfernandez-itext2,198913,40
albfernandez-javadbf,529,3
aled-jsi,163859,13
aleksandr-m-gitflow-maven-plugin,0,0
alessio29-savagebot,60,13
alex2chen-j-statemachine,0,0
alexcojocaru-elasticsearch-maven-plugin,6,2
alexnederlof-Jasper-report-maven-plugin,4501,5
AlexP11223-JavaSpringMvcBlog,7,3
alexr007-ultimate8,0,0
alfasoftware-soapstone,17213,26
alibaba-rsocket-broker-rsocket-broker-gateway-mqtt,0,0
alipay-ams-java-sdk,50,5
aliyun-aliyun-log-flink-connector,0,0
aliyun-aliyun-log-logback-appender,0,0
almondtools-stringsearchalgorithms,7744,21
almson-almson-refcount,0,0
alt236-apkdetails,4,1
amazon-archives-amazon-kinesis-connectors,365,4
amazon-archives-aws-dynamodb-stream-eventbridge-fanout,12,4
amazon-archives-aws-request-signing-apache-interceptor,0,0
amazon-archives-aws-ssm-java-caching-client,13,5
amazon-archives-dynamodb-key-diagnostics-library,83,6
amazon-archives-pocket-etl,1197,34
amazon-ion-ion-docs,703,3
amihaiemil-docker-java-api,186,17
amihaiemil-zold-java-client,8,2
amzn-amazon-pay-api-sdk-java,62032,3
andree-surya-moji4j,0,0
andylamp-BPlusTree,0,0
Ant-Grand-Grand,506,13
antherd-sm-crypto,0,0
Antibrumm-jackson-antpathfilter,0,0
antlr-antlrworks,0,0
antlr-stringtemplate3,20,1
anubhavshukla-properties-to-yaml-converter,0,0
apache-commons-cli,6,3
apache-commons-codec,201928,62
apache-commons-compress,577257,662
apache-commons-graph,675373,10
apache-commons-imaging,110652,117
apache-commons-jxpath,201862,17
apache-dubbo-hessian-lite,0,0
apache-dubbo-rpc-jsonrpc,5,3
apache-flink-benchmarks,20,5
apache-maven-clean-plugin,7625,6
apache-maven-compiler-plugin,11417,7
apache-maven-deploy-plugin,19736,9
apache-maven-ear-plugin,0,0
apache-maven-help-plugin,9058,7
apache-maven-install-plugin,19288,8
apache-maven-jar-plugin,1187,6
apache-maven-jarsigner-plugin,0,0
apache-maven-shade-plugin,4004,6
apache-maven-shared-utils,0,0
apache-maven-site-plugin,8548,35
apache-maven-source-plugin,12630,6
apache-maven-verifier-plugin,0,0
apache-maven-war-plugin,58475,25
apache-pdfbox-jbig2,0,0
apache-sling-org-apache-sling-dynamic-include,29,2
apache-sling-org-apache-sling-feature,381,32
apache-sling-org-apache-sling-query,23,12
apache-sling-org-apache-sling-scripting-sightly,286,4
apache-sling-org-apache-sling-servlets-resolver,166,5
apanimesh061-VaderSentimentJava,94813,3
apereo-cas-server-security-filter,0,0
Appdynamics-redis-monitoring-extension,394,2
appnexus-ElasticNet4j,3,2
AquaticInformatics-aquarius-sdk-java,0,0
arangodb-jackson-dataformat-velocypack,62787,104
arangodb-java-velocypack,8,8
archervanderwaal-storm-server,172,3
Ardesco-driver-binary-downloader-maven-plugin,104,23
Ardesco-Query,67,1
arey-spring-batch-toolkit,4289,85
argoproj-labs-argo-client-java,0,0
arnaugarcia-sallefy,82612,17
asaflevy-SelenuimExtend,0,0
Asana-java-asana,155,16
asciidoctor-asciidoclet,6236,13
aseldawy-spatialhadoop2,1021096,36
ashenwgt-awesome-bdd-with-cucumber,1017,7
ashish-chopra-Structures,3,3
AshisRaj-cucelastic-maven-plugin,0,0
ashwanthkumar-gocd-janitor,37,13
ashwanthkumar-slack-java-webhook,0,0
assertthat-selenium-shutterbug,0,0
ATLANTBH-owl,0,0
atorstling-bychan,0,0
