project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
ChannelApe-shopify-sdk,fd7232206d6eddb19da1eefd3163e28392652706,7129,0,92103,0,99126,0,98140,0,0,4390,0,130046,0,10771,0,145335,1,-1
ChannelApe-shopify-sdk,e866c2c822cc73ae0726a1ab035aca850739ee26,6879,0,90508,0,67974,0,17143,0,0,4091,0,9129,0,7454,0,20794,0,8719
ChannelApe-shopify-sdk,783caf7c448142fb9fd044e849ebba3c8af7564d,7152,0,90189,0,97148,0,99369,0,0,4234,0,10386,0,7411,0,22145,1,10043
ChannelApe-shopify-sdk,fabc0a73fb216922607afd377e2bb686dd1d265f,7067,0,90553,0,61579,0,15830,0,0,4184,0,7115,0,7444,0,18864,0,-1
ChannelApe-shopify-sdk,a6696849b3dc766d5ccbf0d6c66f24ee6dfeaccd,7029,0,93278,0,65359,0,16435,0,0,4159,0,10042,0,7428,0,21749,0,9726
ChannelApe-shopify-sdk,0a9b673a204e46dfd02ea8a45ad64660da8e37b4,7338,0,93480,0,66258,0,16391,0,0,4028,0,7155,0,7729,0,19032,0,-1
ChannelApe-shopify-sdk,4aeb92f4e5417e0602a644d8970f28e0753e5c77,6998,0,89980,0,65600,0,16965,0,0,4217,0,7012,0,7931,0,19275,0,-1
ChannelApe-shopify-sdk,7a7327a72bb2f291fcda307fd4aa674fbb22eb73,7002,0,91590,0,64467,0,16707,0,0,4242,0,6978,0,8008,0,19346,0,-1
ChannelApe-shopify-sdk,7c0fd98f5b15c7fd9e2273238946d75e22dca8ff,13040,0,104491,0,77043,0,23021,0,0,4316,0,11113,0,17648,0,33179,0,10759
ChannelApe-shopify-sdk,fafa343c95af2c30b759c5b8b9a929933d37bf8a,13110,0,100269,0,73730,0,22610,0,0,4124,0,11819,0,17044,0,33079,0,11449
ChannelApe-shopify-sdk,495bfc332ca29172b4e1c3d54a46abc542197642,12134,0,97638,0,72687,0,23297,0,0,4141,0,9410,0,17022,0,30678,0,-1
ChannelApe-shopify-sdk,cd8f8151ae8c22ea48dd4008e8169977ff4b0d5d,12574,0,98312,0,74987,0,21367,0,0,4307,0,11940,0,15803,0,32147,0,11608
ChannelApe-shopify-sdk,8e73360922f4b1d061784b7bd358bd2117b261cc,11916,0,100036,0,73111,0,21988,0,0,4133,0,12121,0,15353,0,31735,0,11775
ChannelApe-shopify-sdk,e2b0371ed4980a90ee891f2a0a6874668994af5c,14870,0,104445,0,76899,0,21355,0,0,4200,0,12492,0,16833,0,33662,0,12151
ChannelApe-shopify-sdk,bf89589c6c83c726c96533f33a1d4add276880e3,10534,0,113186,0,110369,0,116039,0,0,4561,0,26079,0,16514,0,47274,1,11164
ChannelApe-shopify-sdk,0923aad7226e0862eee546c3823b980b90da40e3,10917,0,101385,0,78072,0,22466,0,0,4347,0,7670,0,16309,0,28455,0,-1
ChannelApe-shopify-sdk,b3fee4a8060fbdca5936d19cff472a706e8e2af9,12824,0,101269,0,110636,0,106399,0,0,4262,0,11154,0,16492,0,32037,1,10835
ChannelApe-shopify-sdk,0a26188663a447baae8f8261a01670557332795e,12921,0,99639,0,75444,0,23403,0,0,4525,0,11146,0,16482,0,32286,0,10840
ChannelApe-shopify-sdk,244564c8e77bc87dedfc230cf053bd6a0d7d9e4b,11822,0,103043,0,72512,0,22463,0,0,4265,0,8235,0,18202,0,30808,0,-1
ChannelApe-shopify-sdk,194f57e4610b3eb9b8af0b7a21a9f46097d0b2f2,10687,0,101949,0,72965,0,21660,0,0,4240,0,8063,0,15241,0,27633,0,-1
ChannelApe-shopify-sdk,c6c2b1410d36a41d33ad03363eab7400812239fa,12903,0,99203,0,72079,0,22946,0,0,4404,0,11575,0,16687,0,32782,0,11228
ChannelApe-shopify-sdk,23de7d9e92bde11564b2c0d51d1353ab8bbfd490,12598,0,99371,0,77681,0,23036,0,0,4470,0,11738,0,16725,0,33057,0,11388
ChannelApe-shopify-sdk,39b4b0b923ae2a000eda14db7d4333d0ae601e4a,17588,0,102294,0,83358,0,28500,0,0,4506,0,7999,0,20856,0,33468,0,-1
ChannelApe-shopify-sdk,e936eba3239e59c1161c22b213563ad9d4e2edfe,16538,0,107093,0,79589,0,26442,0,0,4456,0,11381,0,18705,0,34656,0,11029
ChannelApe-shopify-sdk,df1e7ea5bfbe64a1f47efc16ed6127937a3507b8,15072,0,108311,0,73231,0,25023,0,0,4247,0,3337,0,23440,0,31126,0,-1
ChannelApe-shopify-sdk,18987eb80c7c2048aa440ec35ca864d1b4636d63,16846,0,105137,0,18943,0,21664,0,0,4476,0,1455,0,22854,0,28868,0,-1
ChannelApe-shopify-sdk,c39074a504ed56af9f1372c1d50bbbc4d1634684,17093,0,110923,0,19929,0,20011,0,0,4439,0,1456,0,20014,0,25990,0,-1
ChannelApe-shopify-sdk,7a5fa68532cb079e718d45ee8a72addc94887146,16690,0,112713,0,77585,0,28453,0,0,4201,0,8778,0,20157,0,33239,0,-1
ChannelApe-shopify-sdk,f2da966277e5923d31c5c6d1bdbd64b32cc61c27,17900,0,107493,0,79072,0,28785,0,0,4292,0,12702,0,20438,0,37559,0,12382
ChannelApe-shopify-sdk,4e8e908bdee07add2f1412ab2d42779bab6e6660,16470,0,104193,0,114545,0,112131,0,0,4107,0,12721,0,19691,0,36647,1,12332
ChannelApe-shopify-sdk,700263ebb12a8b69f8b9d352b553ad06c71b59ae,16862,0,111357,0,77957,0,26753,0,0,4313,0,12164,0,23010,0,39592,0,11822
ChannelApe-shopify-sdk,1e8a120fc4e1dc3e33f4f4ad181d5e4978f2f88e,13313,0,108107,0,75034,0,27122,0,0,4290,0,12704,0,19610,0,36718,0,12366
ChannelApe-shopify-sdk,13b026b26fb5e96b7ad24d911a17a0f3278198d3,13451,0,106992,0,74822,0,22431,0,0,4548,0,2607,0,21993,0,29248,0,-1
ChannelApe-shopify-sdk,ebf97c5765bc104fb1ea6efc267592370a03e3ec,14158,0,103459,0,80985,0,30052,0,0,4474,0,9169,0,20928,0,34659,0,-1
ChannelApe-shopify-sdk,87b914307a231b329ef9ec9d2885c0c17d453d0c,13925,0,103315,0,79670,0,26358,0,0,4315,0,8702,0,19866,0,32989,0,-1
ChannelApe-shopify-sdk,ebc9d6088e113ac31971055142a1cd5bd1600bc6,17728,0,108316,0,78308,0,22467,0,0,4483,0,8474,0,18762,0,31824,0,-1
ChannelApe-shopify-sdk,d13b53454c01b13a04905b3c4f08b02358f2da8a,14367,0,108988,0,74728,0,24084,0,0,4463,0,4285,0,19477,0,28310,0,-1
ChannelApe-shopify-sdk,818b3c331fbc3bec7302d0f074c09b0618382fa8,17167,0,105142,0,43051,0,19903,0,0,4174,0,2265,0,17379,0,23900,0,-1
ChannelApe-shopify-sdk,8ec6bdfa694b52c994feaad5f3fa5b184c0de9c3,12953,0,105942,0,111244,0,110334,0,0,4488,0,9296,0,17295,0,31182,1,8935
ChannelApe-shopify-sdk,14fba4ef16f6a4564f7c28c855e444c12a287ecb,16264,0,102725,0,105429,0,113416,0,0,4656,0,13692,0,18715,0,37171,1,13358
ChannelApe-shopify-sdk,b6247eb9d338e49083770ae7b383a7a627d6b2f0,11882,0,107472,0,16680,0,16608,0,0,4116,0,1520,0,21171,0,26907,0,-1
ChannelApe-shopify-sdk,5a1679ff348ae0442802f4128153685d24907d64,17268,0,108443,0,113959,0,110173,0,0,4337,0,9545,0,16409,0,30408,1,9174
ChannelApe-shopify-sdk,22c7a70dc9957fd989d0a641d4f4c84c5aef64f7,13959,0,101152,0,83505,0,26927,0,0,4479,0,6185,0,15069,0,25846,0,-1
ChannelApe-shopify-sdk,2f1efb24865cc4407bc8bd9a3a329b72a9802dc2,17599,0,103535,0,78561,0,23066,0,0,4256,0,6164,0,19009,0,29539,0,-1
ChannelApe-shopify-sdk,55a572de3b09b038c94cc8625136c211a242d0bc,13467,0,105532,0,77937,0,23030,0,0,4127,0,7085,0,18630,0,29954,0,-1
ChannelApe-shopify-sdk,8f026002a5085ff060ba11c7609939cff156d1c3,14727,0,110190,0,80768,0,24619,0,0,4563,0,13048,0,19494,0,37198,0,12687
ChannelApe-shopify-sdk,89ae43eeb8ba62318e17d99d0d0151330a25aa18,12704,0,108942,0,80988,0,26275,0,0,4287,0,11652,0,20627,0,36667,0,11303
ChannelApe-shopify-sdk,b09179d74992ed4d73b49e605f9e14327d368ff1,13751,0,107253,0,80758,0,23529,0,0,4584,0,12870,0,17344,0,34897,0,12525
ChannelApe-shopify-sdk,4db6cd8d2a088c690efe0be4095ac48b632ca53e,17687,0,110621,0,79498,0,26556,0,0,4284,0,11090,0,17260,0,32730,0,10751
ChannelApe-shopify-sdk,d3a20393abaea2afd05deb61f304476d54893910,13983,0,108154,0,84325,0,28458,0,0,4450,0,16242,0,17647,0,38429,0,15885
