project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
apache-sling-org-apache-sling-feature,2bd1ad90f5d89ac15698b385ebcab8c8be152f5f,6445,0,78325,0,89565,0,85384,0,0,4755,0,241144,0,8097,0,254100,1,-1
apache-sling-org-apache-sling-feature,afb1e40cafbd906a4546ce0ee0074b08512d14c0,6295,0,78266,0,54148,0,14620,0,0,4664,0,3139,0,4633,0,12522,0,-1
apache-sling-org-apache-sling-feature,db5c93e9782ef6cbd44d1e9e6e041b299853e002,6473,0,77207,0,62499,0,24593,0,0,4285,0,2214,0,4344,0,10921,0,-1
apache-sling-org-apache-sling-feature,333c9f2293cbe97212b8fabcc9a3bc219232e78b,6311,0,81559,0,42740,0,12008,0,0,4392,0,3037,0,4643,0,12153,0,-1
apache-sling-org-apache-sling-feature,49576b5f522497d03be09eb33f4f941005a901da,6225,0,79595,0,54161,0,19579,0,0,4764,0,13098,0,4592,0,22535,0,12674
apache-sling-org-apache-sling-feature,9958526ed2b81f0a7fe7b5156903f6d86e936d16,6490,0,76713,0,51224,0,19837,0,0,4373,0,12883,0,4773,0,22112,0,12577
apache-sling-org-apache-sling-feature,ecec4f853f36df390e9f6dd61fea80eea9a32be0,6497,0,79925,0,61847,0,28141,0,0,4840,0,8553,0,4435,0,17912,0,7736
apache-sling-org-apache-sling-feature,4d71eb2effe2ce267883ef93769953cb7774632e,6333,0,80239,0,50448,0,19807,0,0,4957,0,12765,0,4585,0,22390,0,12450
apache-sling-org-apache-sling-feature,8990dc2c302f60eb79e6c545de9ad2d37c9107df,6458,0,81553,0,51664,0,19280,0,0,4364,0,3239,0,4674,0,12359,0,-1
apache-sling-org-apache-sling-feature,f01b9b668466d98deb64883fd06d580897d504a8,6813,0,80228,0,52465,0,22096,0,0,4735,0,11277,0,4505,0,20599,0,10965
apache-sling-org-apache-sling-feature,4fee6a49731b1b012ce3c80b127e346a077c4b52,6450,0,79137,0,63417,0,25561,0,0,4809,0,6531,0,4689,0,16112,0,6186
apache-sling-org-apache-sling-feature,f53aef5e060eefa9a9fb801b77b5361c8455cb03,6479,0,73806,0,61000,0,25501,0,0,4586,0,2189,0,4741,0,11599,0,-1
apache-sling-org-apache-sling-feature,244c1cf2dd499dfedb03d8cc8c5a8383bba17ba5,6332,0,82881,0,50537,0,22718,0,0,4627,0,11348,0,4684,0,20738,0,-1
apache-sling-org-apache-sling-feature,c91f51489b02346a0c04cdd3f7f843b66159454b,6574,0,74283,0,63712,0,28274,0,0,4429,0,17685,0,4500,0,26698,0,17369
apache-sling-org-apache-sling-feature,5c446a04d85dfc2407665749e5f0bf900dc02efe,6870,0,84001,0,52302,0,23425,0,0,4711,0,9739,0,4705,0,19238,0,-1
apache-sling-org-apache-sling-feature,f5cfdfb3393565ef83ab1fb873f457fcc4462556,6566,0,81544,0,52118,0,22990,0,0,4667,0,8627,0,4722,0,18098,0,-1
apache-sling-org-apache-sling-feature,b8833b5d05eddc80e97eb79d3801a8113a497658,6627,0,77865,0,51071,0,22637,0,0,4461,0,8523,0,4890,0,17955,0,-1
apache-sling-org-apache-sling-feature,71b0fe433782d307435406ec7e722f8af93535d1,6707,0,75852,0,6930,0,7003,0,0,4652,0,2174,0,4716,0,11625,0,-1
apache-sling-org-apache-sling-feature,df44c46419998c7717f372ea914e27d52766155d,6109,0,80112,0,61373,0,27925,0,0,4546,0,11631,0,4640,0,20902,0,11315
apache-sling-org-apache-sling-feature,37f59a36fa07a42ffd6c019b5bb0f55a729fb0db,6522,0,81492,0,50700,0,21957,0,0,4499,0,4544,0,4672,0,13799,0,-1
apache-sling-org-apache-sling-feature,f6703a0cfa50c7e70412b35f245ba7d6ecf13e1f,6594,0,75917,0,64707,0,28605,0,0,4672,0,11903,0,4658,0,21314,0,-1
apache-sling-org-apache-sling-feature,76fcb8e788ecfb735255d346f15cb8a2db9ef03d,6772,0,79913,0,6975,0,7143,0,0,4707,0,5692,0,4689,0,15170,0,5351
apache-sling-org-apache-sling-feature,b96c13d9668c2ba0880ff3ddb77687f07416e941,6667,0,79089,0,66262,0,27676,0,0,4980,0,8198,0,4712,0,17973,0,7882
