project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
braintree-braintree_java,ba326e6fb8c8f756ec3b5c1a3c795be0e46ee8a9,5795,0,25285,0,38250,0,38396,0,0,4682,0,54764,0,9712,0,69317,1,-1
braintree-braintree_java,41789cd869b39b07cfd06f25a30dea4aee2574ed,5427,0,25052,0,6791,0,6278,0,0,4433,0,4759,0,5275,0,14573,0,4296
braintree-braintree_java,2e48ef788336a47618a75255a8704bfbde570518,6284,0,24586,0,29713,0,19464,0,0,4767,0,17126,0,5074,0,27054,0,16774
braintree-braintree_java,87d49765ed4947e7b7cc514b3fd5071780c2e2a8,6193,0,25926,0,27028,0,18876,0,0,4785,0,13061,0,5110,0,23051,0,12709
braintree-braintree_java,d34a95893f93227a83f1503086d5c7f5b50b62ce,6383,0,27535,0,26993,0,16612,0,0,4617,0,6053,0,5175,0,15934,0,5710
braintree-braintree_java,3cf022e01a8598c658a0c25d847f42838471c781,6514,0,25345,0,29437,0,19660,0,0,4617,0,15481,0,4928,0,25124,0,15133
braintree-braintree_java,b857077ac8ed7db9f6d09e37107934311fb81f5f,6452,0,70640,0,86324,0,85405,0,0,5135,0,221963,0,4445,0,231662,1,37800
braintree-braintree_java,6af2b8653d1b613e90dfbbde369d5051ae3b00d4,6333,0,72823,0,66010,0,20626,0,0,4876,0,18040,0,4604,0,27624,0,17670
braintree-braintree_java,6f6654f86683a898ac86884cf4e19c193acaac3c,6324,0,74904,0,76987,0,81224,0,0,4829,0,23037,0,4662,0,32655,1,22665
braintree-braintree_java,3495a64ba75287f55d5a26032f48889323d821c6,6338,0,67952,0,79769,0,77788,0,0,4805,0,13495,0,4734,0,23136,1,13114
braintree-braintree_java,990d2f3ba79ecc78adbef48e65b7d1bdd74f010f,6368,0,73292,0,56501,0,16013,0,0,4974,0,4745,0,4919,0,14727,0,4365
braintree-braintree_java,432f6494079a0c6f814ae600742df16d5dc2c470,5393,0,71723,0,56240,0,15484,0,0,4598,0,1711,0,4930,0,11325,0,-1
braintree-braintree_java,206d6b68d1aa6d282d692cec3e38d144e1474b43,5517,0,76035,0,54477,0,16603,0,0,4880,0,2282,0,4742,0,11990,0,-1
braintree-braintree_java,40093a67205b5e5ee86d982216de34ab76ff8956,5556,0,74166,0,53333,0,16748,0,0,5016,0,2096,0,4832,0,12031,0,-1
braintree-braintree_java,3aa0f112aa61d02e04838a9231bc207c5833c966,5316,0,72796,0,57997,0,16964,0,0,4889,0,2273,0,4926,0,12176,0,-1
braintree-braintree_java,37f399bf5a2181d08bd285d05bc1b5c17b1d728c,6631,0,73609,0,56032,0,18361,0,0,4963,0,3793,0,4670,0,13507,0,-1
braintree-braintree_java,c088c25b3934bc44cdbebdc6e09f9022595a8fb0,6324,0,72066,0,56792,0,18292,0,0,4837,0,3942,0,4664,0,13524,0,-1
braintree-braintree_java,be217b95d7478d1bf79ed8d733579af16caac826,6765,0,69909,0,57306,0,19838,0,0,4755,0,14692,0,4605,0,24148,0,14298
braintree-braintree_java,6b78cc26178041dec029ae7b8ee48108ccd2a526,6415,0,74463,0,57919,0,19190,0,0,4873,0,15294,0,5027,0,25295,0,14943
braintree-braintree_java,e4fa522af6fbc21e6df3b825a5d4c94043aa7784,6374,0,74378,0,58159,0,20399,0,0,4841,0,6743,0,4645,0,16319,0,6377
braintree-braintree_java,ffebf77ae01ef9b4cc795e87f9c1b3c9745b57e8,6533,0,73306,0,56936,0,18805,0,0,4724,0,14646,0,4682,0,24148,0,14278
braintree-braintree_java,de4cddb4e17e6a4afa10c79e65e535a00b68b58a,6483,0,71129,0,59067,0,19381,0,0,4907,0,12585,0,4544,0,22134,0,12201
braintree-braintree_java,a1995775d59288f497343fb428a6788ddfd8c27c,6395,0,72169,0,57794,0,19981,0,0,4896,0,14127,0,4864,0,23982,0,13783
braintree-braintree_java,ff83af4a9711c807c3ba81feb0a5118161b3d180,6664,0,70596,0,55583,0,18450,0,0,4810,0,8806,0,4691,0,18402,0,8436
