project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
contentful-contentful.java,e62c4357c30998c53e58f57bf96af6d4161fefae,9442,0,83312,0,95146,0,90161,0,0,3572,0,155007,0,15746,0,174432,1,-1
contentful-contentful.java,84889ddc96596abc9722bd7e49918ad183ab5264,9603,0,82568,0,57285,0,16229,0,0,3465,0,2342,0,10134,0,16027,0,-1
contentful-contentful.java,acf94238558df6351df7518d6770eee3c9eb74b3,9917,0,85865,0,5607,0,5250,0,0,3398,0,4683,0,10366,0,18528,0,-1
contentful-contentful.java,eadcc34b295d1c8e7a7b71747927cc84d5cfff04,9459,0,86443,0,58218,0,20224,0,0,3563,0,5818,0,10337,0,19807,0,-1
contentful-contentful.java,2a3d527692b84600b402e8374e2828178e6b6074,9437,0,84929,0,60285,0,19197,0,0,3537,0,2376,0,10442,0,16439,0,-1
contentful-contentful.java,e468fd406d5fe199b7a81bfea710d8dd06544384,9161,0,81845,0,57494,0,18487,0,0,3247,0,1718,0,10192,0,15239,0,-1
contentful-contentful.java,28300ba17102a82578b5a43de1bda75d998ff053,9580,0,83766,0,58473,0,19668,0,0,3563,0,7637,0,10407,0,21696,0,7240
contentful-contentful.java,48911d8ad6e94637db88f49328d935b1098e30c9,9311,0,86071,0,60185,0,19390,0,0,3496,0,7660,0,10460,0,21703,0,7327
contentful-contentful.java,868b4ef3b4374f696731d4cdfd5b696de021ca45,9399,0,88011,0,58397,0,20699,0,0,3682,0,8133,0,10361,0,22264,0,7837
contentful-contentful.java,c5c311adc95449c472eb37c77e4a17e044fb51e7,9583,0,83597,0,58728,0,20343,0,0,3457,0,8019,0,10301,0,21866,0,-1
contentful-contentful.java,6fee973deae4da8ceb40d64a6de88d9fd331acb6,9623,0,84977,0,58764,0,20052,0,0,3198,0,5660,0,10148,0,19097,0,-1
contentful-contentful.java,280e3326ca30746a4db66ccde2a7073da3142a07,9849,0,85786,0,59857,0,20447,0,0,3514,0,6929,0,10459,0,20995,0,-1
contentful-contentful.java,a574b245044e988a2a2324af67987a239b98756f,9628,0,80178,0,58636,0,19772,0,0,3455,0,7278,0,10330,0,21153,0,6959
contentful-contentful.java,330acc5081e9f7451c95e40df86992151474c08a,9419,0,81858,0,59716,0,19986,0,0,3633,0,5162,0,10204,0,19084,0,-1
contentful-contentful.java,b29b2f1c38f2d00e91cd5c676e65d6ec1e4ce576,9597,0,85298,0,58396,0,15608,0,0,3631,0,2509,0,10173,0,16397,0,-1
contentful-contentful.java,e7a0c412b94c97ff49e4cfac539c243f46821f11,9961,0,85626,0,63656,0,24023,0,0,3578,0,17701,0,10476,0,31859,0,17401
contentful-contentful.java,de938fd4c6987511b1edf6c076507a7ce972d063,10079,0,89064,0,61283,1,20301,1,0,3933,0,8012,0,10524,0,22561,0,7668
contentful-contentful.java,bcb9da8213a12e7f6043e072bdc1902b274a2025,10108,0,86608,0,57688,0,16484,0,0,3972,0,2345,0,10580,0,16989,0,-1
contentful-contentful.java,65d321b58adbf6a9f07d98fd0141883a33de740f,9909,0,85054,0,60984,0,21060,0,0,3889,0,5078,0,10849,0,19905,0,-1
contentful-contentful.java,7cfc170989c3ecec86bc7c6c95876f498ed0ec1c,18212,0,107148,0,109692,0,111927,0,0,4101,0,225198,0,18537,0,247925,1,16077
contentful-contentful.java,98bd3c57c736433a23507e68c1c5d2da8e3c45d3,18335,0,103784,0,72888,0,30739,0,0,3971,0,9691,0,19134,0,32884,0,9365
contentful-contentful.java,43ca580c8f3201053802b8eb3b2a0aadf9c9d3fa,18709,0,105951,0,74026,0,31520,0,0,3942,0,12517,0,19385,0,35936,0,12184
contentful-contentful.java,c07f68e533d3b71c013af5672ddddd2eb7ae0312,18822,0,103427,0,74670,0,31303,0,0,4138,0,8999,0,19555,0,32784,0,8657
contentful-contentful.java,1d5e8618c417b1f83c77fdcb2f9fca0f90fcfbf0,19236,0,105156,0,75608,0,31125,0,0,4033,0,8705,0,19668,0,32496,0,8366
contentful-contentful.java,c47be99753b61496135fc734cb902edb5d74386e,18834,0,109059,0,75956,0,30628,0,0,4109,0,2054,0,19597,0,25845,0,-1
contentful-contentful.java,573158ee6ba6c9268ce09587bba9ce08c758f4ea,19189,0,108712,0,117492,0,115718,0,0,4202,0,9870,0,19757,0,33915,1,9500
contentful-contentful.java,32a319c0e53392173f6338b3d1a33d09cd2763f6,19014,0,110714,0,74398,0,30347,0,0,3957,0,2049,0,19936,0,26030,0,-1
contentful-contentful.java,69deb7f64e998185f7aef26b10cf4a11dcbdad2f,18680,0,109614,0,5723,0,5663,0,0,4206,0,1871,0,19634,0,25796,0,-1
contentful-contentful.java,fa6c7fa31b3c987176834883af3f16656b7cd0b0,18762,0,111878,0,5450,0,5486,0,0,3978,0,198,0,19843,0,24104,0,-1
contentful-contentful.java,c842906036fd56023dbab2570c226e85bf31ab4d,18578,0,108135,0,78817,0,31357,0,0,3827,0,2814,0,19762,0,26492,0,-1
contentful-contentful.java,306f19c4732889a490828fcdac92b5f91ddc51d1,18753,0,111279,0,112263,0,116038,0,0,4118,0,15571,0,19813,0,39592,1,9781
contentful-contentful.java,2a1736ee7b58652491f4bc5917934192c67a5df2,18438,0,112049,0,75560,0,30416,0,0,3970,0,7440,0,19701,0,31199,0,7103
contentful-contentful.java,40781e6e77511bb14bb11576c30f338c6cece5e7,19364,0,135912,0,136731,0,141879,0,0,4057,0,33946,0,20210,0,58297,1,11363
contentful-contentful.java,997a06131ed9705b73479290552d2c194de40877,18590,0,131713,0,138984,0,139029,0,0,4419,0,35722,0,20350,0,60579,1,8533
contentful-contentful.java,ae7eca23ac5ac62a45daa7e6fa014f3026c3edd4,19061,0,132752,0,91549,0,31113,0,0,4274,0,7553,0,20143,0,32056,0,7219
contentful-contentful.java,e311e24110cfbafd54c07f1291c5cd1752d8707b,18937,0,106721,0,113508,0,113836,0,0,4234,0,64434,0,19304,0,88060,1,13362
contentful-contentful.java,e8162f5f9bbdcd201dd55d26266950ee6c3ddf97,18550,0,110448,0,75596,0,30049,0,0,3987,0,4007,0,19270,0,27355,0,-1
contentful-contentful.java,df95fe42213fdd79d75f8f8d019631ec724e78db,18293,0,110844,0,76382,0,30538,0,0,4201,0,7703,0,19625,0,31616,0,7352
contentful-contentful.java,2c11b1a8ddf8a5e960ab9476c3dad2ccf5c9369a,18661,0,110618,0,73146,0,30240,0,0,3794,0,8109,0,19666,0,31657,0,7768
contentful-contentful.java,e1130a685198f5fa7783c371deb2e0f19e35aad5,18414,0,112188,0,74474,0,30171,0,0,4195,0,8188,0,19554,0,32023,0,7850
contentful-contentful.java,264b078369991c2b3cb10e318895fceb4b47b006,18471,0,111768,0,76017,0,30601,0,0,3768,0,8464,0,19618,0,31937,0,8133
contentful-contentful.java,dfaceacadb84b6991f5cdaeec1eb891ef7ac8d9b,18328,0,110728,0,75359,0,30655,0,0,4361,0,7453,0,19504,0,31404,0,7084
contentful-contentful.java,3a246e44af8ea12b66c00a94878d4111861d4986,18690,0,110916,0,76470,0,30767,0,0,4141,0,7183,0,19479,0,30889,0,6830
contentful-contentful.java,932c04d308413d8580887ee6d7bbd37cdba9b678,18741,0,110420,0,74273,0,32078,0,0,4046,0,9511,0,19625,0,33270,0,9160
contentful-contentful.java,ec8454866aa255a4568111811041bb6a9859ce36,18207,0,108602,0,78072,0,31036,0,0,3870,0,9216,0,19636,0,32808,0,8845
contentful-contentful.java,70eedd868e4ec5cb89f1c36fbc07105985b92ebc,18210,0,114578,0,73804,0,29375,0,0,4149,0,7586,0,19694,0,31517,0,7251
contentful-contentful.java,790216b801f82e1527fe3dfb5f69abc772932e70,18472,0,109661,0,76840,0,30918,0,0,4107,0,8697,0,19643,0,32533,0,8378
contentful-contentful.java,873595e77ba0ecdaf7bc550f42cab21a0ffc086c,18689,0,114564,0,113751,0,115438,0,0,4141,0,14831,0,19859,0,38916,1,7146
contentful-contentful.java,d4751aa83ece92beb55c58ee5166836246521cc8,18400,0,109530,0,76762,0,29672,0,0,4204,0,7762,0,19799,0,31853,0,7423
contentful-contentful.java,184e5c7fdfaa49455b56afc5da67a68bbecf1515,18763,0,111504,0,75845,0,30580,0,0,4099,0,7622,0,19619,0,31430,0,7290
