project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
davidmoten-rxjava2-file,4cc301f9374b141e07fde7cfbb5e587669e8baad,6119,0,19512,0,24895,0,23603,0,0,3162,0,38593,0,9085,0,50917,1,-1
davidmoten-rxjava2-file,ad7cd80aa311801c2529438fb2efd4a73420b491,7547,0,21389,0,24129,0,25260,0,0,2947,0,26652,0,7354,0,37032,1,8095
davidmoten-rxjava2-file,647e9536565500df13d5f3584d098d2b7de9132b,9788,0,23555,0,20248,0,15307,0,0,2887,0,1853,0,9449,0,14263,0,-1
davidmoten-rxjava2-file,be7a2e19c587150f0ebeec0cda09d3efbcb99a30,9709,0,21438,0,20460,0,15183,0,0,2964,0,1801,0,9193,0,14032,0,-1
davidmoten-rxjava2-file,380957092c17b73d2fe3493b75639b5894ed1600,9999,0,23440,0,20801,0,15286,0,0,3060,0,2484,0,9416,0,15035,0,-1
davidmoten-rxjava2-file,c213f313c17a4161b30b41e0d9896f42c4333f8b,9962,0,22652,0,20501,0,15323,0,0,2844,0,1744,0,9435,0,14100,0,-1
davidmoten-rxjava2-file,f88b6a578907a3951c344f723fcf7612e98b31a4,9767,0,22912,0,20138,0,15675,0,0,3141,0,4852,0,9121,0,17191,0,4584
davidmoten-rxjava2-file,bfc67b2c33abcc215ea5ec691beb24cf1c4405ae,9881,0,24782,0,28227,0,27491,0,0,3058,0,27321,0,9244,0,39704,1,5498
davidmoten-rxjava2-file,97abe0865559a0f8abd98e9519f51613b0df80ba,10061,0,25019,0,29468,0,29690,0,0,2995,0,7264,0,9446,0,19782,1,6957
davidmoten-rxjava2-file,e26b35b55a963d8379e5c2cf1104bd5a86afeca3,9872,0,24689,0,22211,0,16497,0,0,2808,0,5218,0,9279,0,17375,0,-1
davidmoten-rxjava2-file,1c8961061d594a4b5036b8c8fa018d01bc214332,12200,0,27901,0,24882,0,18649,0,0,3092,0,5579,0,11697,0,20447,0,-1
davidmoten-rxjava2-file,3e34b55f92e41bd052830dc67eb2224dc4407985,12386,0,27702,0,23985,0,18384,0,0,2928,0,5458,0,11773,0,20236,0,5180
davidmoten-rxjava2-file,278f34213cd95b3afc0ed002d1440853ba3f33c9,12585,0,28295,0,32847,0,32689,0,0,3378,0,53562,0,11930,0,68949,1,10682
davidmoten-rxjava2-file,082ae2bf09f7380b61a084832c18546757c371ed,4810,0,17640,0,14629,0,9708,0,0,2915,0,4097,0,3867,0,10947,0,-1
davidmoten-rxjava2-file,4d26c8afbe19ff3949c4805f3e3467b96a3fa329,4599,0,18395,0,22379,0,21632,0,0,3006,0,6779,0,3754,0,13607,1,6485
davidmoten-rxjava2-file,526b6eb28a6d6dcee4df9599e3e4a6a4f3c29504,4987,0,51152,0,46005,0,10339,0,0,2912,0,4269,0,4074,0,11327,0,-1
davidmoten-rxjava2-file,29087a578e4c0262169c15728aa6297f19f1c31b,4928,0,110440,0,105424,0,9123,0,0,3022,0,1654,0,4178,0,8922,0,-1
davidmoten-rxjava2-file,b2b689b6e9986cdb17d4153c67f6cbcf414fd6e7,5369,0,106999,0,111355,0,111878,0,0,3403,0,7219,0,4323,0,15015,1,6908
davidmoten-rxjava2-file,d88949f1363849f8b39cdea934be4f650302de2d,5021,0,107161,0,105844,0,9866,0,0,3437,0,4525,0,4159,0,12190,0,4250
davidmoten-rxjava2-file,ac5cdd4cd0500100d01c12ffbfe94f6b70f1739d,5083,0,108460,0,106397,0,10121,0,0,3350,0,4179,0,4268,0,11868,0,-1
davidmoten-rxjava2-file,1a2479faa3703a1932d889a1f6bafc89682bdaac,4913,0,107722,0,105747,0,9361,0,0,3270,0,1695,0,4087,0,9121,0,-1
davidmoten-rxjava2-file,e68538184846b4cdb29b952b32f4785bda89296c,5093,0,107293,0,105117,0,9287,0,0,3206,0,1763,0,4081,0,9117,0,-1
davidmoten-rxjava2-file,a527b3ffc5f95af85ff1983e55edbae48f20744c,5035,0,108505,0,105642,0,9551,0,0,3273,0,1675,0,4091,0,9105,0,-1
davidmoten-rxjava2-file,91f3b00916963c1649ff9b3c40e86fcd6bc6e0df,4929,0,108279,0,105748,0,9858,0,0,3206,0,1661,0,3985,0,8921,0,-1
davidmoten-rxjava2-file,469925afe133c34a58891030d21ae670ab878da2,4830,0,108460,0,106260,0,9886,0,0,3221,0,1658,0,4407,0,9353,0,-1
davidmoten-rxjava2-file,7149eea027b637a0684be0e1db5ab41e9685bf9d,5049,0,108999,0,106577,0,9398,0,0,3348,0,1674,0,4182,0,9274,0,-1
