project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
devcon5io-mutation-analysis-plugin,beb456490aab88954c846cb31ffaf4212e387995,11889,0,101732,0,110248,0,112633,0,0,9255,0,163213,0,10340,0,182904,1,-1
devcon5io-mutation-analysis-plugin,8a7d0ec477dce966830f315c8b4e70d7676d3718,11556,0,103752,0,70312,0,19914,0,0,9255,0,2576,0,6808,0,18719,0,-1
devcon5io-mutation-analysis-plugin,2c7a4986827cb794a9cec3982de99976ebbb771e,11919,0,98492,0,67806,0,20475,0,0,9082,0,3171,0,6754,0,19087,0,-1
devcon5io-mutation-analysis-plugin,ad5ae728c1dc296e74a480738b3a4473ebf13bc4,11760,0,100651,0,67268,0,19103,0,0,9340,0,6076,0,6402,0,21895,0,5668
devcon5io-mutation-analysis-plugin,7716b6ffb4dc28a03470b50d27a98c8883f70f76,11606,0,104078,0,70098,0,21620,0,0,9397,0,8070,0,7016,0,24569,0,7755
devcon5io-mutation-analysis-plugin,95175a7a907be4dd60f62e6fabf1242e33af93da,11638,0,102538,0,67990,0,19884,0,0,9137,0,6148,0,6569,0,21934,0,5829
devcon5io-mutation-analysis-plugin,12cca7c57116e25ec93fef24dc024e4e8effd448,11618,0,107213,0,67264,0,19687,0,0,9332,0,3223,0,6542,0,19177,0,-1
devcon5io-mutation-analysis-plugin,8591b5996aac1ce6c385a784ff6b7a1d61d6430c,11783,0,101037,0,59273,0,17158,0,0,9233,0,1527,0,6373,0,17213,0,-1
devcon5io-mutation-analysis-plugin,d8c2e0683d348c33deffeb57846792c371c6e1c2,11440,0,97530,0,68987,0,19772,0,0,8951,0,1782,0,6490,0,17304,0,-1
devcon5io-mutation-analysis-plugin,afcebefe261fe13c9aeac03bd7a0595f407588a5,11485,0,104971,0,66959,0,20653,0,0,9239,0,7598,0,6785,0,23700,0,7286
devcon5io-mutation-analysis-plugin,03395a7ebbb9455a002a82ecaf53c85da0ba4be7,11975,0,102412,0,67468,0,19884,0,0,8616,0,3606,0,6581,0,18883,0,-1
devcon5io-mutation-analysis-plugin,565124f83b7c48c60e769ef94ca2a36218bf6a76,10741,0,105974,0,72380,0,20335,0,0,9290,0,1803,0,6439,0,17610,0,-1
devcon5io-mutation-analysis-plugin,8bf5209eb763dcf70e0728de373634c751eabb80,12173,0,107366,0,68606,0,20819,0,0,8974,0,4115,0,6600,0,19770,0,-1
devcon5io-mutation-analysis-plugin,8536559ce22fe964b945763d74b8e264da105051,11381,0,100860,0,66360,0,18620,0,0,9099,0,2405,0,6810,0,18392,0,-1
devcon5io-mutation-analysis-plugin,1a70ec45bb122651de65e1a93e5eae6ab0951e07,11852,0,102689,0,70267,0,20459,0,0,9016,0,5867,0,6500,0,21462,0,-1
devcon5io-mutation-analysis-plugin,ef1dcb6a1da1d04e97130eb0048e798ab028bb4e,11555,0,95278,0,67395,0,19586,0,0,8927,0,4639,0,6463,0,20108,0,4323
devcon5io-mutation-analysis-plugin,a69c7752709e4bc01b4fe54d03640d618bd8785d,11811,0,98182,0,74225,0,21004,0,0,9037,0,6370,0,6406,0,21893,0,6038
