project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
dropwizard-dropwizard-elasticsearch,7075290722a9440591b23f23709ad4e18be1dafb,3610,0,8475,0,15145,0,13345,0,0,2851,0,294296,0,6435,0,303661,1,-1
dropwizard-dropwizard-elasticsearch,c101e03e91e3b8651d94b60d144ca53a22c4ba29,3473,0,8496,0,8609,0,7979,0,0,2999,0,2953,0,2742,0,8770,0,-1
dropwizard-dropwizard-elasticsearch,98302a278061a7f2e19d3a2367bf62c8b01330fd,3603,0,8252,0,4200,0,3963,0,0,2670,0,1621,0,2792,0,7155,0,-1
dropwizard-dropwizard-elasticsearch,88654a3605325cf13724e8ef7684c3d2c4d436fe,3351,0,8747,0,9344,0,8067,0,0,3060,0,1751,0,2869,0,7756,0,-1
dropwizard-dropwizard-elasticsearch,53f9f39593ece9e1b36baff25347f4dee97ab4a4,3542,0,8778,0,7516,0,7866,0,0,2760,0,1426,0,2761,0,7022,0,-1
dropwizard-dropwizard-elasticsearch,e2f61e1ca076b3fc7b1b7b958529d782d70173b1,3512,0,8488,0,8216,0,8100,0,0,2982,0,1589,0,2931,0,7574,0,-1
dropwizard-dropwizard-elasticsearch,37935de7d2da6c61b6aac2ac43d8b89ddb8ba19c,4034,0,48213,0,10938,0,8753,0,0,2984,0,2667,0,3739,0,9465,0,-1
dropwizard-dropwizard-elasticsearch,f4eabddb7680d2bc7acae0268dedba88645917f2,5880,0,142948,0,17369,0,10078,0,0,2847,0,2764,0,6700,0,12387,0,-1
dropwizard-dropwizard-elasticsearch,ff72696b55f2ad37aaacc1885d61bee36dd1b491,5707,0,142372,0,79687,0,11239,0,0,2727,0,3512,0,6616,0,12931,0,-1
dropwizard-dropwizard-elasticsearch,3cbddbe6445927fa0375c504d5041e95cd887cc8,5665,0,141085,0,9763,0,10485,0,0,2993,0,1414,0,6578,0,11060,0,-1
dropwizard-dropwizard-elasticsearch,be1542daebe3915c4e617384ce72a7562a54e329,6419,0,174669,0,179458,0,179524,0,0,2823,0,337651,0,7126,0,347685,1,16583
dropwizard-dropwizard-elasticsearch,e3c2d58233815469d748fb2dec3c205d10714894,6497,0,173285,0,174486,0,180007,0,0,3487,0,324725,0,6952,0,335332,1,16001
dropwizard-dropwizard-elasticsearch,733182658c33d618d028cebdbd72b277e5469369,6998,0,182119,0,187823,0,188823,0,0,3439,0,386541,0,7505,0,397642,1,7169
dropwizard-dropwizard-elasticsearch,647a56aaa2f8440df71534cdf134e19f4170e2d2,6819,0,176454,0,20796,0,11443,0,0,3329,0,3161,0,7588,0,14154,0,-1
dropwizard-dropwizard-elasticsearch,5b227bb2dcfd79eb97fd8529a1074abf37c30d32,7407,0,199961,0,207034,0,204000,0,0,3478,0,380789,0,8248,0,392594,1,14761
dropwizard-dropwizard-elasticsearch,673697748da58b38e4c101e2bf3f9758e70c1771,7516,0,210180,0,217530,0,210731,0,0,3564,0,285962,0,8179,0,297908,1,17475
dropwizard-dropwizard-elasticsearch,22b4e6418177f73681a73f46d961c26bf9d290ab,7755,0,274249,0,272718,0,274623,0,0,3397,0,349745,0,9918,0,363141,1,15194
