project,module,STANDARD_LIB,JAVAMOP,RVMONITOR,PROJECT,THIRD_PARTY_LIB,NATIVE,ASPECTJ,OTHER,VIOLATION,ASPECTJ_INSTRUMENTATION,ASPECTJ_RUNTIME,ASPECTJ_OTHER,MONITORING,SPECIFICATION,MOP_AND_AJC,RVMONITOR_LOCK,MONITORING_LOCK,LOCK,UNKNOWN,sum manual,sum profiler
actiontech-dble,6a8ef6dfec9421e74f38267a772370b0f1cd2c9d,0,0,24,2027,0,0,0,345,0,29906,179,39,27,21,89,2,13,1,0,32673,32673
actiontech-dble,4da97794eaa3a08d33e253d41ea78f50eb749170,0,0,38,2143,0,0,0,353,0,30964,204,40,23,28,107,5,13,1,0,33919,33919
actiontech-dble,e6ec6fc9e6b05b27e2fbcab7f970a7509d755174,0,0,42,2059,0,0,0,314,0,30871,188,28,21,18,150,4,8,0,0,33703,33703
actiontech-dble,f3dece2ee657ed38fbd1f952feaf3a3653b09d8a,0,0,41,2119,0,0,0,355,0,32050,181,29,28,19,188,4,8,1,0,35023,35023
actiontech-dble,96d6580a72a575d20cfb4c627b3eb7cef770b3f3,0,0,33,2150,0,0,0,376,0,31853,199,45,30,22,117,8,12,0,0,34845,34845
actiontech-dble,fdd98e5113b599ff05734a6ceb3cfe85d44ab491,0,0,33,2102,0,0,0,330,1,33112,200,29,32,16,169,4,9,4,0,36041,36041
actiontech-dble,233ab917c942420a67b9ddd599098e310a08d3f7,0,0,38,2093,0,0,0,328,0,31544,180,32,30,17,190,4,9,0,0,34465,34465
actiontech-dble,9a95c9c30e6c8c3d59023197b96075a7795b27b5,0,0,38,2106,0,0,0,371,0,32065,182,40,27,21,177,2,12,0,0,35041,35041
actiontech-dble,3970a46bdd9210893030963486a060015f82f68d,0,0,34,2160,0,0,0,365,0,33129,203,42,25,19,188,3,12,2,0,36182,36182
actiontech-dble,89b40011590c8aee8695e18ba3be0dc23a261108,0,0,27,2153,0,0,0,361,0,33063,197,37,31,21,154,1,16,2,0,36063,36063
actiontech-dble,2b0ffca8dfd8575197d222f920b6ef8fba325f6b,0,0,32,2063,0,0,0,354,0,31912,217,43,23,15,148,8,11,0,0,34826,34826
actiontech-dble,43e9c9058a33da560ee3772072ba8fae704a6488,0,0,28,2157,0,0,0,344,0,32601,193,29,27,22,156,5,16,1,0,35579,35579
actiontech-dble,588804f62c21e66c8fd26b5d28313ee6171121bd,0,0,26,2116,0,0,0,361,0,31970,188,40,22,17,184,5,11,0,0,34940,34940
actiontech-dble,43acec3d2c7b903d19b949de9becbfb90704c144,0,0,48,2121,0,0,0,345,0,32918,194,38,25,25,192,3,13,1,0,35923,35923
actiontech-dble,02f9ee6b60c90810543ab38b144ce95f87b8fa0e,0,0,26,2067,0,0,0,383,0,32200,183,28,29,22,156,6,6,3,0,35109,35109
actiontech-dble,21c9886898f7ee28453754731935fc77acaebebf,0,0,48,2099,0,0,0,354,1,32144,190,32,22,27,201,4,7,1,0,35130,35130
actiontech-dble,82ec0c5de0278c48b649b538ff82c45afc3dbe72,0,0,34,2140,0,0,0,382,0,32278,198,40,22,15,201,2,9,2,0,35323,35323
actiontech-dble,61a29043ac4e64b40c8f575e202ae7985c6ec96a,0,0,41,2166,0,0,0,364,0,32649,197,53,31,21,188,4,10,4,0,35728,35728
actiontech-dble,d3277e18aabd0730863cc311a0118027c6a1a4b5,0,0,34,2121,0,0,0,344,0,32787,194,32,30,15,152,3,11,0,0,35723,35723
actiontech-dble,24851f5c7cf15cf1e55d9fc280ab14a3a52ab53e,0,0,30,2120,0,0,0,339,2,32069,181,40,30,14,185,5,14,0,0,35029,35029
actiontech-dble,aebf8d91373cd9be75d8a174e8c7e65a402bfe5c,0,0,32,2121,0,0,0,337,0,31653,191,42,24,10,168,3,22,0,0,34603,34603
actiontech-dble,2b87829dc786e4644c4ee67bf842a94a887ec04f,0,0,36,2035,0,0,0,370,1,33409,180,29,22,21,186,1,12,0,0,36302,36302
actiontech-dble,e4371f8f831ac4af7ba3df2796ad80319f8cbbfa,0,0,43,2187,0,0,0,367,1,33561,218,28,30,28,191,4,6,3,0,36667,36667
actiontech-dble,5ef199439f27c77fda557f3b99266038b7b0f988,0,0,37,2075,0,0,0,353,0,32415,186,24,19,18,165,7,11,2,0,35312,35312
actiontech-dble,d22c2d503cc799a5570d48d2fc4a2f684e8f721f,0,0,37,2185,0,0,0,335,1,32997,187,39,30,17,147,4,13,2,0,35994,35994
actiontech-dble,7b8f916e355d8cdabc49b8455b742fe78512a7ec,0,0,36,2098,0,0,0,353,1,31825,187,40,25,14,166,6,15,2,0,34768,34768
actiontech-dble,fea2a70b789dca5e5793b45b0f3b3a0d5cf4c17f,0,0,35,2152,0,0,0,359,0,32457,172,38,17,27,195,4,11,2,0,35469,35469
actiontech-dble,43710d6d1586c79479012c3b2102711597e75013,0,0,47,2087,0,0,0,368,1,33212,212,36,34,28,199,5,13,1,0,36243,36243
actiontech-dble,dd30300f333fde67dc49ad045f15cbad81af832d,0,0,40,2129,0,0,0,356,1,32737,172,47,32,23,187,4,20,1,0,35749,35749
actiontech-dble,6d2595a5bd01db827b68950296333d3e8b06e1ff,0,0,35,2134,0,0,0,412,2,32045,194,41,20,23,154,9,17,1,0,35087,35087
actiontech-dble,94b705f6320bf4e8b4cc25f023ca6ab7d14537a1,0,0,32,2144,0,0,0,356,1,32449,203,45,24,19,169,1,14,0,0,35457,35457
actiontech-dble,0b93f4d84f1255c16a60854e440d3d3d1b7f7955,0,0,41,2135,0,0,0,362,0,33311,203,47,23,22,183,3,20,2,0,36352,36352
actiontech-dble,e29ec29686fbca23d68975c3309b0a68da7edf57,0,0,40,2130,0,0,0,341,0,32074,188,32,19,14,159,3,15,1,0,35016,35016
actiontech-dble,8fec8289488d7e96836ca22ce42c00b885644c9c,0,0,38,2131,0,0,0,356,0,33865,207,49,21,19,199,2,13,1,0,36901,36901
actiontech-dble,8e72861344fedb8c047982e0794cece9ca629110,0,0,38,2086,0,0,0,358,0,31867,190,47,19,25,155,2,13,0,0,34800,34800
actiontech-dble,4c447788fbd33b74629c1851b778c2efddf28129,0,0,30,2069,0,0,0,354,1,32674,203,52,23,24,166,7,12,0,0,35615,35615
actiontech-dble,dab9326f1fe62d5bc3fe10efbe50afe0841edb57,0,0,29,2049,0,0,0,300,1,31242,181,40,21,21,188,3,8,1,0,34084,34084
actiontech-dble,00b911be0dfa6c788fe46067b45d66f36b1ce9d4,0,0,35,2069,0,0,0,375,0,31179,185,35,35,20,194,3,9,0,0,34139,34139
actiontech-dble,c77edcba877a508026eddd6c052b8aea982e5104,0,0,41,2136,0,0,0,345,1,33452,198,39,36,18,197,4,15,1,0,36483,36483
actiontech-dble,2cfcac28504a38d7fb05b2ce07df1acb0ba9b810,0,0,30,2050,0,0,0,345,0,32536,210,23,23,17,199,3,11,0,0,35447,35447
actiontech-dble,2dc25644df3b2c5932c9e5f65cda4621d17bc3d1,0,0,30,2141,0,0,0,359,0,33377,207,36,29,22,193,4,8,0,0,36406,36406
actiontech-dble,5ddd6a8a18b7130cfc8e2a402d6b1c51416202f5,0,0,37,2147,0,0,0,349,0,33376,205,37,29,21,157,2,10,2,0,36372,36372
actiontech-dble,4eac4e1aafdbdec4a5a22bfa9aa8091afbccfb01,0,0,37,2122,0,0,0,380,2,33368,189,26,27,23,193,1,8,0,0,36376,36376
actiontech-dble,dcff228b4c13bf0fd9f7bb0d52f9c18aaba36b59,0,0,35,2103,0,0,0,352,0,33179,191,38,18,15,151,4,7,0,0,36093,36093
actiontech-dble,07c0c1f1c986a71fb74d0fcc0379965592c63b49,0,0,36,2089,0,0,0,343,0,31475,196,37,29,16,197,5,8,2,0,34433,34433
actiontech-dble,7feeccf8cff062b87e759d0034d71fa9176ed8aa,0,0,40,1936,0,0,0,327,0,31501,199,32,23,19,185,6,10,2,0,34280,34280
actiontech-dble,4c048acdebfc074f95028c4a305ef2598b76e431,0,0,35,2099,0,0,0,340,0,31620,184,35,21,13,149,2,10,1,0,34509,34509
actiontech-dble,52db0ff56d85d35cde2599bdbf93b3693fa9ed49,0,0,33,2068,0,0,0,341,0,31856,184,38,25,21,147,4,9,1,0,34727,34727
actiontech-dble,04cdec372cb293c8d3efc1122c4fe7b635f755d9,0,0,35,2086,0,0,0,368,0,31475,181,29,28,15,150,9,11,1,0,34388,34388
