project,module,STANDARD_LIB,JAVAMOP,RVMONITOR,PROJECT,THIRD_PARTY_LIB,NATIVE,ASPECTJ,OTHER,VIOLATION,ASPECTJ_INSTRUMENTATION,ASPECTJ_RUNTIME,ASPECTJ_OTHER,MONITORING,SPECIFICATION,MOP_AND_AJC,RVMONITOR_LOCK,MONITORING_LOCK,LOCK,UNKNOWN,sum manual,sum profiler
actiontech-dble,6a8ef6dfec9421e74f38267a772370b0f1cd2c9d,0,0,41,2060,0,0,0,356,0,32089,200,37,25,23,110,7,8,1,0,34957,34957
actiontech-dble,4da97794eaa3a08d33e253d41ea78f50eb749170,0,0,32,2030,0,0,0,289,0,22964,157,40,23,15,25,3,10,3,0,25591,25591
actiontech-dble,e6ec6fc9e6b05b27e2fbcab7f970a7509d755174,0,0,39,2183,0,0,0,350,0,33364,195,41,27,22,180,5,9,0,0,36415,36415
actiontech-dble,f3dece2ee657ed38fbd1f952feaf3a3653b09d8a,0,0,32,2056,0,0,0,292,2,23345,155,48,29,14,60,2,12,4,0,26051,26051
actiontech-dble,96d6580a72a575d20cfb4c627b3eb7cef770b3f3,0,0,34,2055,0,0,0,340,1,30606,188,32,24,29,104,5,12,2,0,33432,33432
actiontech-dble,fdd98e5113b599ff05734a6ceb3cfe85d44ab491,0,0,28,2117,0,0,0,363,0,31963,185,39,30,28,191,4,13,1,0,34962,34962
actiontech-dble,233ab917c942420a67b9ddd599098e310a08d3f7,0,0,34,2087,0,0,0,324,0,25240,157,34,38,18,32,3,10,1,0,27978,27978
actiontech-dble,9a95c9c30e6c8c3d59023197b96075a7795b27b5,0,0,40,2146,0,0,0,322,0,25571,181,43,21,19,31,1,12,3,0,28390,28390
actiontech-dble,3970a46bdd9210893030963486a060015f82f68d,0,0,27,2118,0,0,0,328,1,26841,174,49,22,23,86,5,9,1,0,29684,29684
actiontech-dble,89b40011590c8aee8695e18ba3be0dc23a261108,0,0,28,2163,0,0,0,351,0,26832,170,46,24,21,80,5,9,1,0,29730,29730
actiontech-dble,2b0ffca8dfd8575197d222f920b6ef8fba325f6b,0,0,38,2135,0,0,0,328,0,25934,153,39,19,18,85,4,9,2,0,28764,28764
actiontech-dble,43e9c9058a33da560ee3772072ba8fae704a6488,0,0,34,2115,0,0,0,321,3,24965,176,41,23,16,39,4,9,1,0,27747,27747
actiontech-dble,588804f62c21e66c8fd26b5d28313ee6171121bd,0,0,23,2050,0,0,0,306,1,24708,168,33,26,17,37,6,12,1,0,27388,27388
