project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
sblendorio-petscii-bbs,b18e01a9920fdbcb4fbf1725c0908851a0a3e7fc,3191,0,39640,0,43686,0,43660,0,0,3054,0,160009,0,10018,0,173321,1,-1
sblendorio-petscii-bbs,e40032eda81cc22dc4f63b18044c7515b849960d,3611,0,38060,0,24941,0,6478,0,0,3362,0,1289,0,2372,0,7143,0,-1
sblendorio-petscii-bbs,03d5a5c6f4d9a1b7ee18b4efe9797492fd55949e,3419,0,37602,0,25738,0,7128,0,0,2604,0,1341,0,2456,0,6505,0,-1
sblendorio-petscii-bbs,2234330f7e9f24b4efd2beba6ce2743114497bc7,3641,0,37656,0,32753,0,8142,0,0,2477,0,2516,0,2513,0,7611,0,-1
sblendorio-petscii-bbs,c7d7332a53ea0620118dec480ff6dc77be988640,3257,0,37917,0,31399,0,8841,0,0,2337,0,1555,0,2556,0,6559,0,-1
sblendorio-petscii-bbs,181cadbba3efe8573a2263a7d6cd60c140077491,4215,0,37778,0,30895,0,7051,0,0,2431,0,1870,0,2223,0,6633,0,-1
sblendorio-petscii-bbs,9c0f946c2a3da7014c3ac6926bb19d73d0158041,3779,0,38640,0,32056,0,7829,0,0,2454,0,1509,0,2535,0,6601,0,-1
sblendorio-petscii-bbs,bf2b195189bf2f47cf7a777e77e74b8f53bced43,3941,0,37416,0,32066,0,7047,0,0,2309,0,1612,0,2548,0,6573,0,-1
sblendorio-petscii-bbs,c894b5366ccfaed194e158d3cd13f8635b00e085,3275,0,38615,0,32625,0,6140,0,0,2734,0,1583,0,2753,0,7168,0,-1
sblendorio-petscii-bbs,6b72db7f24f1c530a837734094fd01d2b8f679a1,3553,0,37408,0,32856,0,7410,0,0,2846,0,1457,0,3009,0,7414,0,-1
sblendorio-petscii-bbs,215eb26362e48c6839593fb8a723763178731bb9,3208,0,37267,0,31889,0,8185,0,0,2406,0,2049,0,2518,0,7085,0,-1
sblendorio-petscii-bbs,ec43692567bf4dc297cefc79ea903e403afa0e31,3289,0,38282,0,32364,0,7524,0,0,2502,0,1234,0,2155,0,5998,0,-1
sblendorio-petscii-bbs,b233dbb777fb03bfcaf3677001f5fda27288c5f0,4380,0,37960,0,32951,0,6331,0,0,2296,0,1381,0,2224,0,5985,0,-1
sblendorio-petscii-bbs,7e36a361b38614ab202a5c4d7490750e1bb1d65a,3834,0,37489,0,33958,0,7069,0,0,2532,0,1528,0,2481,0,6642,0,-1
sblendorio-petscii-bbs,a879c181168edb010a1075d507072ab068da3b98,3591,0,37257,0,33931,0,6901,0,0,2345,0,1808,0,2830,0,7085,0,-1
sblendorio-petscii-bbs,818e789b26bc27956cfbf48766d2eb421d9d897c,3461,0,37644,0,31919,0,7006,0,0,2462,0,1640,0,2271,0,6477,0,-1
sblendorio-petscii-bbs,74c78652dfefbc2596c925827c1015e51a51e003,3799,0,37462,0,32674,0,6875,0,0,2631,0,1799,0,2340,0,6873,0,-1
sblendorio-petscii-bbs,bdc5223611c99b8d326b928084d62b42df466f68,3207,0,37982,0,31490,0,7111,0,0,2304,0,1679,0,2455,0,6536,0,-1
