project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
sigopt-sigopt-java,18260e1ccbdb5fbf03fe752940193ffc7184f8b8,1681,0,14625,0,17794,0,16437,0,0,1075,0,43981,0,9905,0,55043,1,-1
sigopt-sigopt-java,d5bd3a2f66a9d92e5b222303e2247b5c7f5966ca,1940,0,14421,0,11597,0,5608,0,0,1076,0,2176,0,2019,0,5349,0,-1
sigopt-sigopt-java,11da199bb71f0496c2c00ea637bab089bc846603,1674,0,14560,0,11255,0,3961,0,0,1219,0,962,0,2319,0,4579,0,-1
sigopt-sigopt-java,620dd34a6b7bff998c56798adcae0c53903b552f,1820,0,15170,0,11894,0,3733,0,0,1030,0,712,0,2310,0,4129,0,-1
sigopt-sigopt-java,fc66bc6ecc3486418f63bbe35654a647b6039277,1907,0,14229,0,12183,0,5061,0,0,1349,0,3354,0,2645,0,7420,0,2960
sigopt-sigopt-java,69b6f7f5b7b7a1597283322ee0c079cd51cbc196,1813,0,15131,0,13346,0,4851,0,0,1508,0,3240,0,2359,0,7190,0,2961
sigopt-sigopt-java,abee8a0459dbf7651cf8c0ef9fb5018e85c387aa,2169,0,14281,0,11844,0,4910,0,0,1200,0,3133,0,2946,0,7356,0,2839
sigopt-sigopt-java,a9605415da2153729f375cefa155230d402ab29a,2037,0,15223,0,2117,0,2010,0,0,1305,0,705,0,2729,0,4813,0,-1
sigopt-sigopt-java,aca383f00275e55a479d68c9ac72e3eebf9dae3b,1832,0,13996,0,12023,0,4337,0,0,1490,0,3110,0,2808,0,7492,0,2822
sigopt-sigopt-java,7b5d0c91522cb9e5ec0bb01baa4ffafd3ea6affb,1788,0,14684,0,11974,0,4375,0,0,1363,0,1098,0,3101,0,5635,0,-1
sigopt-sigopt-java,9430f0c7b202e3b8c0db075eea217a67a49771d6,2111,1,14495,1,4805,1,3468,1,1,1075,0,662,0,2943,1,4744,0,-1
sigopt-sigopt-java,b334963a55a911b63ef46c7be8e8cd0490417982,1822,0,14673,0,11431,0,4969,0,0,1398,0,1450,0,2245,0,5170,0,-1
sigopt-sigopt-java,98f43f71bff9df873f41629810016f9d20b90e38,2075,0,14600,0,11420,0,4768,0,0,1322,0,2908,0,2733,0,7048,0,2623
sigopt-sigopt-java,ed9c27b4231e747213c60581f2dd2864dae5496f,1889,0,15069,0,11114,0,4951,0,0,1240,0,2963,0,2710,0,6999,0,2685
sigopt-sigopt-java,bc24abd8079234533f1f4bd5d6c7c8af50448ca8,1819,0,14041,0,11947,0,4265,0,0,1228,0,3920,0,2289,0,7514,0,3590
sigopt-sigopt-java,757ed8182ced049e266a82c85cdf317db428c83c,1855,0,14384,0,11142,0,4632,0,0,1288,0,3498,0,2042,0,6911,0,3179
sigopt-sigopt-java,588643a53afb09e8253888848945542f81f424c1,2317,0,14984,0,11733,0,5093,0,0,1244,0,3855,0,2309,0,7491,0,3547
sigopt-sigopt-java,7f8e5e5833b87a3c0a190fa0ecc045e1c90fbed0,2048,0,14862,0,12081,0,4387,0,0,1221,0,3373,0,2906,0,7585,0,3053
sigopt-sigopt-java,a968c4881c091fbbb407d74eca3a2d20af87b4eb,2182,0,15149,0,11469,0,4967,0,0,1252,0,3447,0,2143,0,6927,0,3165
sigopt-sigopt-java,ccc13be1d8971ad63b0d47293ea9241962f7e0e1,1869,0,14701,0,12501,0,4489,0,0,1357,0,2873,0,2644,0,6957,0,2574
sigopt-sigopt-java,f548e1d946e3e65585051a63af546b1d5b93a441,1770,0,14081,0,11742,0,4692,0,0,1337,0,3369,0,2338,0,7117,0,3051
sigopt-sigopt-java,43404b142f799ce1c503daea97da0538d7160798,2779,0,14258,0,4715,0,3927,0,0,1677,0,711,0,2483,0,4946,0,-1
sigopt-sigopt-java,60df018d04cb8c721b89afc8810d6cec4785e372,1779,0,14949,0,12488,0,3398,0,0,1338,0,681,0,2833,0,4926,0,-1
sigopt-sigopt-java,98e7c5dbe4d84191a597f7c893178ec0b225f43b,2056,0,14717,0,12074,0,4910,0,0,1197,0,772,0,2068,0,4109,0,-1
sigopt-sigopt-java,8a64213bbd8be24d248c2594317ce81915df42ed,2140,0,15260,0,12470,0,4521,0,0,1171,0,3636,0,2586,0,7478,0,3363
sigopt-sigopt-java,5cd9ca272355892b0d4cd29eea92dc46cf5b0bfa,1913,0,15760,0,12797,0,4866,0,0,1209,0,2860,0,2133,0,6286,0,2562
sigopt-sigopt-java,6b50e6767cd00834d30cfaed35a177111bd985ae,1895,0,14374,0,11234,0,5027,0,0,1248,0,3173,0,2675,0,7173,0,2870
sigopt-sigopt-java,274383e0804cf329efcc6e20363e4ebf40e6f889,1947,0,15666,0,17131,0,18445,0,0,1176,0,3117,0,2278,0,6651,1,2829
sigopt-sigopt-java,9bc3611ced184c47c62bf6a536dacf6c9ac76056,2045,0,15807,0,11855,0,4396,0,0,1239,0,1816,0,2913,0,6052,0,-1
sigopt-sigopt-java,b212358d39dfc3f27329ca75ae51492a0a90a7e1,1953,0,16021,0,12017,0,4521,0,0,1550,0,3672,0,3192,0,8498,0,3346
