project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
soot-oss-heros,bd5243156217183e1fac0f29f82a16bf83191a18,5105,0,32326,0,40050,0,41584,0,0,3140,0,75317,0,7833,0,86423,1,-1
soot-oss-heros,cc78fad3acfbfc059aa105c24390b33bf5549fb0,4500,0,31015,0,26550,0,15221,0,0,3255,0,3979,0,4017,0,11364,0,3556
soot-oss-heros,3a26b4eef29893153bfb0e1ed0f8389ec9e5fdb6,4217,0,31477,0,32843,0,30919,0,0,3386,0,4212,0,3568,0,11243,1,3907
soot-oss-heros,c740e6b4c80ab9e6162a39dcc280b22429e0279b,4334,0,30374,0,35281,0,34799,0,0,3335,0,69769,0,3709,0,76892,1,4228
soot-oss-heros,ebf0f473e2af95c744d953e2a6dc95b6fc38e09b,4258,0,30185,0,25861,0,15690,0,0,3370,0,3019,0,3973,0,10438,0,-1
soot-oss-heros,c20a74f4ebc41a6318e6e3e77a5091f3d7ad105a,4222,0,32531,0,25769,0,13567,0,0,3307,0,6425,0,3997,0,13808,0,6119
soot-oss-heros,8e59e82e2223034b952d4c7ba7d07de1d732cf8c,4356,0,29173,0,28306,0,19882,0,0,3333,0,7514,0,3952,0,14880,0,7184
soot-oss-heros,4abc1c95f9ad92f1894c839ffad9e13b7afdf0a1,4343,0,30056,0,4709,0,4775,0,0,3456,0,4114,0,4084,0,11733,0,3787
soot-oss-heros,a5eedc48923a7d3a88d1e2696994e0e8cec20af4,4041,0,29609,0,23702,0,15745,0,0,3224,0,4359,0,3859,0,11517,0,-1
soot-oss-heros,11e3878768837c2263c73b698b1d1f5752be6de9,4696,0,31356,0,4930,0,4856,0,0,3355,0,1606,0,3982,0,9022,0,-1
soot-oss-heros,46dda6528dd6c26560673e827c2755e1afd20180,4404,0,29808,0,8180,0,8046,0,0,3485,0,1309,0,3868,0,8740,0,-1
soot-oss-heros,286a2eea43b630b9b281e4950b0e55f6184745d7,4300,0,31556,0,25774,0,15414,0,0,3088,0,3232,0,3845,0,10242,0,-1
soot-oss-heros,4aaa90ce4cde75bd650886ef51e4d9915dae48af,5481,0,73944,0,85933,0,89515,0,0,3759,0,220766,0,5369,0,229978,1,23138
