project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
walmartlabs-gozer,4522bb9ddc4b97bd8e705c0f3db3f8ac40e307d1,2773,0,8599,0,11780,0,12156,0,0,3910,0,29637,0,8889,0,42545,1,-1
walmartlabs-gozer,85f8b25c1ec8cd6f9c52be9ee9e91957e67bfa05,2100,0,8489,0,7996,0,6719,0,0,3704,0,3426,0,1383,0,8603,0,3048
walmartlabs-gozer,a8d410dea8f0f58dcc50c85f98bb85bca9c503bd,2592,0,8475,0,7806,0,6297,0,0,3943,0,4274,0,1343,0,9641,0,3949
walmartlabs-gozer,f75bc11df480f854e80b1c1b81cf825d3c733355,2614,0,9368,0,6393,0,4860,0,0,3884,0,2383,0,1429,0,7786,0,-1
walmartlabs-gozer,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,2136,0,9910,0,9485,0,6826,0,0,4028,0,9709,0,1726,0,15563,0,9434
walmartlabs-gozer,ffec6c73941ac259fb8ffd8b0d1b9781656df0fb,2449,0,8979,0,7471,0,5081,0,0,2705,0,2758,0,1875,0,7428,0,-1
walmartlabs-gozer,e95c5e7548bb172a149bb80350aa58aa6e1437a7,2667,0,10004,0,8175,0,6318,0,0,3067,0,3608,0,1250,0,8014,0,-1
walmartlabs-gozer,ed62c9b53aefb7ce0a20e6a912530fa2f38a32ad,2314,0,9476,0,7514,0,5004,0,0,2695,0,2692,0,1837,0,7317,0,-1
walmartlabs-gozer,6fe1722ce0cbee846ce586cded9a75e37de7637a,2281,0,10605,0,10313,0,12316,0,0,2351,0,16623,0,1255,0,20315,1,2599
walmartlabs-gozer,711bd2ded75b241b0cac73c94e8dfa6aafc87540,2149,0,9491,0,6539,0,3557,0,0,2322,0,1838,0,1367,0,5603,0,-1
walmartlabs-gozer,cc0d12a7e25f098324e2cfbf17387d449edf3565,2403,0,10390,0,5277,0,5190,0,0,2557,0,1556,0,1537,0,5736,0,-1
walmartlabs-gozer,22a605a791345366be02e255cafd5c4ac37673e6,2658,0,10046,0,6803,0,4956,0,0,2755,0,2051,0,1344,0,6236,0,-1
