project,status
2captcha-2captcha-java,OK
3redronin-mu-server,OK
520github-fw-parallel-task,OK
520github-fw-perf-test,ltw time too short
520github-fw-statemachine,ltw time too short
6tail-lunar-java,ctw time too short
6tail-tyme4j,ltw time too short
abahgat-suffixtree,ltw time too short
AccelerationNet-access2csv,ltw time too short
acegi-xml-format-maven-plugin,ctw failed
actiontech-dble,ctw time too short
AdamBien-jwtenizr,ctw time too short
AdamBien-xplr,ltw time too short
addthis-stream-lib,OK
adobe-commerce-cif-magento-graphql,ctw failed
adobe-htl-tck,ltw time too short
aehrc-ontology-core,ctw failed
aelstad-keccakj,OK
aerogear-aerogear-unifiedpush-java-client,ctw time too short
afranken-jmeter-analysis-maven-plugin,ctw time too short
Afrozaar-wp-api-v2-client-java,ctw time too short
afrunt-jach,ltw time too short
agarciadom-xeger,OK
agentgt-jatl,ltw time too short
agido-malter-logback-elasticsearch-appender,ltw time too short
agiledon-payroll-ddd,ctw failed
AgNO3-jcifs-ng,ctw time too short
agoncal-agoncal-application-petstore-ee7,ctw time too short
agrison-jtoml,regular javamop (ltw) failed
agrison-redux4j,ctw time too short
aidhog-blabel,ltw time too short
ainslec-picocog,ltw time too short
ajantis-java-crdt,ltw time too short
akamai-NetStorageKit-Java,ltw time too short
AlanDelip-SpringBoot-Template,ctw failed
alanhay-html-exporter,ctw time too short
albfernandez-itext2,ctw failed
albfernandez-javadbf,OK
aled-jsi,ctw time too short
aleksandr-m-gitflow-maven-plugin,ltw time too short
alessio29-savagebot,ctw time too short
alex2chen-j-statemachine,ltw time too short
alexcojocaru-elasticsearch-maven-plugin,ctw time too short
alexnederlof-Jasper-report-maven-plugin,ctw failed
AlexP11223-JavaSpringMvcBlog,ctw time too short
alexr007-ultimate8,ltw time too short
alfasoftware-soapstone,ctw time too short
alibaba-rsocket-broker-rsocket-broker-gateway-mqtt,ctw failed
alipay-ams-java-sdk,ctw time too short
aliyun-aliyun-log-flink-connector,ltw time too short
aliyun-aliyun-log-logback-appender,ctw time too short
almondtools-stringsearchalgorithms,OK
almson-almson-refcount,OK
alt236-apkdetails,ltw time too short
amazon-archives-amazon-kinesis-connectors,ctw time too short
amazon-archives-aws-dynamodb-stream-eventbridge-fanout,ctw time too short
amazon-archives-aws-request-signing-apache-interceptor,ltw time too short
amazon-archives-aws-ssm-java-caching-client,ctw time too short
amazon-archives-dynamodb-key-diagnostics-library,ctw failed
amazon-archives-pocket-etl,ctw failed
amazon-ion-ion-docs,ctw time too short
amihaiemil-docker-java-api,ctw time too short
amihaiemil-zold-java-client,ctw time too short
amzn-amazon-pay-api-sdk-java,ctw time too short
andree-surya-moji4j,ltw time too short
andylamp-BPlusTree,OK
Ant-Grand-Grand,ctw time too short
antherd-sm-crypto,ltw time too short
Antibrumm-jackson-antpathfilter,OK
antlr-antlrworks,ltw time too short
antlr-stringtemplate3,ctw failed
anubhavshukla-properties-to-yaml-converter,ltw time too short
apache-commons-cli,ltw time too short
apache-commons-codec,OK
apache-commons-compress,ctw failed
apache-commons-graph,OK
apache-commons-imaging,ctw failed
apache-commons-jxpath,ctw time too short
apache-commons-lang,regular javamop (ltw) failed
apache-commons-ognl,regular javamop (ltw) failed
apache-dubbo-hessian-lite,ctw time too short
apache-dubbo-rpc-jsonrpc,ctw time too short
apache-flink-benchmarks,ctw failed
apache-giraph,regular javamop (ltw) failed
apache-maven-clean-plugin,ctw failed
apache-maven-compiler-plugin,ctw failed
apache-maven-deploy-plugin,ctw failed
apache-maven-ear-plugin,ltw time too short
apache-maven-help-plugin,ctw failed
apache-maven-install-plugin,ctw failed
apache-maven-jar-plugin,ctw failed
apache-maven-jarsigner-plugin,ctw failed
apache-maven-shade-plugin,ctw failed
apache-maven-shared-utils,ctw failed
apache-maven-site-plugin,ctw failed
apache-maven-source-plugin,ctw failed
apache-maven-verifier-plugin,ltw time too short
apache-maven-war-plugin,ctw failed
apache-pdfbox-jbig2,ctw time too short
apache-sling-org-apache-sling-dynamic-include,ctw failed
apache-sling-org-apache-sling-feature,ctw time too short
apache-sling-org-apache-sling-query,ctw failed
apache-sling-org-apache-sling-scripting-sightly,ctw failed
apache-sling-org-apache-sling-servlets-resolver,ctw time too short
apanimesh061-VaderSentimentJava,ctw time too short
apereo-cas-server-security-filter,ctw time too short
Appdynamics-redis-monitoring-extension,ctw failed
appnexus-ElasticNet4j,ltw time too short
AquaticInformatics-aquarius-sdk-java,ctw time too short
arangodb-jackson-dataformat-velocypack,cannot remove hot methods
arangodb-java-velocypack,ltw time too short
archervanderwaal-storm-server,ctw time too short
Ardesco-driver-binary-downloader-maven-plugin,ctw time too short
Ardesco-Query,ctw failed
arey-spring-batch-toolkit,ctw failed
argoproj-labs-argo-client-java,ctw failed
arnaugarcia-sallefy,ctw failed
Arnauld-gutenberg,regular javamop (ltw) failed
asaflevy-SelenuimExtend,OK
Asana-java-asana,ctw time too short
asciidoctor-asciidoclet,ctw failed
aseldawy-spatialhadoop2,ctw failed
ashenwgt-awesome-bdd-with-cucumber,ctw time too short
ashish-chopra-Structures,ltw time too short
AshisRaj-cucelastic-maven-plugin,ctw time too short
ashwanthkumar-gocd-janitor,ctw time too short
ashwanthkumar-slack-java-webhook,ltw time too short
assertthat-selenium-shutterbug,ltw time too short
ATLANTBH-owl,ltw time too short
atorstling-bychan,ltw time too short
Atrox-haikunatorjava,ltw time too short
atteo-evo-inflector,ctw time too short
attoparser-attoparser,OK
augustd-burp-suite-jsonpath,ltw time too short
aurbroszniowski-os-platform-finder,ltw time too short
aurbroszniowski-Rainfall-core,ctw time too short
autermann-yaml,ctw time too short
authlete-authlete-java-common,ctw time too short
AuthorizeNet-sample-code-java,OK
AuthorizeNet-sdk-java,ctw time too short
authorjapps-simulator,ctw time too short
avaje-common-avaje-agentloader,ctw time too short
AVMf-avmf,ltw time too short
avodonosov-hashver-maven-plugin,regular javamop (ltw) failed
AwakenCN-InChat,ltw time too short
aws-amazon-neptune-sigv4-signer,ctw time too short
aws-cloudformation-cloudformation-template-schema,ltw time too short
awslabs-amazon-kinesis-scaling-utils,ltw time too short
awslabs-amazon-sns-java-extended-client-lib,ctw time too short
awslabs-aws-codepipeline-custom-job-worker,ctw time too short
awslabs-aws-glue-catalog-sync-agent-for-hive,ctw time too short
awslabs-route53-infima,OK
axelhjalm-bitwig-midi-fighter-twister,ltw time too short
azam-ulidj,ltw time too short
azige-moebooru-viewer,ctw failed
Azure-azure-functions-java-worker,ctw time too short
Azure-Samples-cassandra-proxy,ctw time too short
badlogic-basis-template,ltw time too short
baidu-smartapp-openapi-java,ctw failed
Bandwidth-java-bandwidth,ctw time too short
BarcodeAPI-server,ctw time too short
barrer-translate-online,ctw time too short
Barteks2x-173generator,OK
basdijkstra-tau-rest-assured,ctw time too short
baswerc-routes,ctw time too short
bazaarvoice-dropwizard-redirect-bundle,ltw time too short
bazaarvoice-jsonpps,ctw time too short
bazaarvoice-rison,ctw time too short
bdupras-guava-probably,ctw time too short
BellaDati-belladati-sdk-java,ctw time too short
ben-xo-cdjscrobbler,ctw time too short
beothorn-URISchemeHandler,ltw time too short
berlam-github-bucket,ctw time too short
bernardosulzbach-dungeon,ctw time too short
berndporr-iirj,ltw time too short
BestCreater-SSM,ltw time too short
bestyize-DoubanAPI,ltw time too short
beyonddream-JRAKE,ltw time too short
bfh-evg-unicrypt,ctw failed
bgandon-juli-to-slf4j,ltw time too short
binance-binance-connector-java,ctw time too short
binance-binance-futures-connector-java,ctw time too short
BingAds-BingAds-Java-SDK,OK
binghe001-mykit-holiday,ctw time too short
bingoohuang-excel2javabeans,ctw failed
bingoohuang-westid,ctw failed
biouno-figshare-java-api,ltw time too short
biouno-pbs-java-api,ltw time too short
bkatwal-kafka-solr-sink-connector,ctw time too short
bkatwal-kafka-util,OK
bkiers-atlas,ltw time too short
blackbeard334-djoom3,ltw time too short
blackdoor-hate,ctw time too short
Blazemeter-xtn5250,cannot remove hot methods
blinkfox-jpack-maven-plugin,ctw failed
blinkfox-mini-table,ltw time too short
blinkfox-zealot,ctw failed
blockchain-jd-com-bftsmart,regular javamop (ltw) failed
blueapron-kafka-connect-protobuf-converter,ctw time too short
bluemix-NumberToArabicWords,ltw time too short
bmatthews68-ldapunit,OK
bmwcarit-hmm-lib,ltw time too short
bnb-chain-java-sdk,regular javamop (ltw) failed
bohnman-squiggly,ctw time too short
bonnyfone-vectalign,ltw time too short
bookshelfdave-etp,ltw time too short
bot4dofus-B4D,test failed
bouncestorage-chaos-http-proxy,OK
bpodgursky-jbool_expressions,ltw time too short
bpsm-edn-java,ltw time too short
braintree-braintree_java,ctw time too short
bremersee-sms,ctw time too short
brettwooldridge-SparseBitSet,OK
bruceran-krpc,ctw failed
brutusin-commons,ltw time too short
brutusin-instrumentation,ltw time too short
bserdar-jcliff,ltw time too short
btrekkie-dynamic-connectivity,ltw time too short
btrplace-scheduler,mop profiler failed
bubuntux-poker-engine,ltw time too short
buddy-works-simple-java-project,ltw time too short
budhash-cliche,ltw time too short
c0ny1-captcha-killer,ltw time too short
camunda-camunda-xml-model,ctw time too short
Cantara-Java-Auto-Update,OK
carlosbritojun-jflunt,ltw time too short
carlostse-jopencc,ltw time too short
CarmJos-AliDDNS-Updater,ctw time too short
casbin-jcasbin,ctw time too short
casid-jusecase,ltw time too short
cbartosiak-bson-codecs-jsr310,ltw time too short
cellsrg-tabbypdf,ltw time too short
Celos-avro-json-decoder,ctw time too short
centro-monitoring-center,clone failed
CeON-spark-utils,ctw failed
ceridwen-com-ceridwen-standard-interchange-protocol-library,ctw time too short
cescoffier-vertx-completable-future,OK
cflint-CFLint,regular javamop (ltw) failed
ChannelApe-shopify-sdk,ctw time too short
Chatanga-Girinoscope,ltw time too short
chengdedeng-waf,ctw time too short
chenhaiyangs-mybatis-encrypt-plugin,ltw time too short
chenjianjx-swagger2html,ctw failed
chenjianjx-wsdl2html,ltw time too short
chocoteam-choco-graph,OK
chrfrantz-DBSCAN,ltw time too short
chriswhocodes-FreeLogJ,ltw time too short
Chrriis-RRDiagram,ltw time too short
chyxion-table-to-xls,ctw time too short
cimiano-tbx2rdf,ctw failed
CiscoDevNet-stealthwatch-data-exporter,ctw time too short
cjmatta-kafka-connect-irc,ltw time too short
clarkchen-data_structure,ltw time too short
cliang97-HealthReport-WUT,ctw failed
cloudbees-diff4j,ltw time too short
cloudbees-oss-zendesk-java-client,ctw failed
cloudiator-sword,ctw failed
cloudiator-visor,ltw time too short
cloudspannerecosystem-pgadapter,ctw time too short
cm-heclouds-onenet-studio-api-java-sdk,ctw time too short
cocolian-cocolian-nlp,OK
CODAIT-stocator,ctw failed
code4craft-xsoup,ctw time too short
codeclou-java-junit-xml-merger,ctw time too short
codedance-silken,ltw time too short
codeforamerica-pdfparser,ctw failed
codeine-cd-codeine,ctw time too short
codelibs-elasticsearch-dataformat,OK
codelibs-elasticsearch-dynarank,OK
codelibs-elasticsearch-langfield,OK
codelibs-elasticsearch-sstmpl,OK
codelibs-jcifs,ctw time too short
codelibs-jhighlight,ltw time too short
codelibs-ranklib,ltw time too short
codelion-gramtest,cannot remove hot methods
codepine-testrail-api-java-client,ctw time too short
coderodde-OrderStatisticTree,ltw time too short
CodeShield-Security-Log4JShell-Bytecode-Detector,ctw time too short
CodinGameCommunity-XmasRush,ltw time too short
coekie-gentyref,ltw time too short
coldnew-twse-captcha-solver-java,ctw time too short
Col-E-Simple-Memory-Compiler,ctw time too short
confluentinc-castle,ctw time too short
confluentinc-kafka-connect-datagen,OK
contentful-contentful.java,ctw time too short
contentful-contentful-management.java,ctw time too short
conveyal-osm-lib,OK
coralblocks-CoralME,ctw time too short
corentin59-ArtNetStack,ltw time too short
Coreoz-PPT-Templates,ctw time too short
Coreoz-Wisp,OK
couchbaselabs-couchbase-capi-server,ctw time too short
Coveros-GitHub-Sandbox-selenified,ctw time too short
cowtowncoder-java-cachemate,ltw time too short
cowtowncoder-java-uuid-generator,OK
cowtowncoder-low-gc-membuffers,ltw time too short
c-rack-cbor-java,ltw time too short
craigwblake-redline,ctw time too short
crispab-javabuilderpattern,ltw time too short
crossoverJie-distributed-redis-tool,ctw failed
crossoverJie-leetcode,ltw time too short
Crozin-Wykop.pl-Java-SDK,ltw time too short
Cryptonomica-cryptonomica,ctw time too short
ctapweb-AutoSubClause,ctw failed
cternes-openkeepass,ctw time too short
ctran-TinyRadius,ltw time too short
ctrl-alt-dev-tps-parse,OK
ctron-rpm-builder,ltw time too short
CubeEngine-Dirigent,ltw time too short
CurrencyCloud-currencycloud-java,OK
cutecharts-cutecharts.java,ctw time too short
cyberborean-rdfbeans,ctw time too short
CycloneDX-cyclonedx-maven-plugin,ctw failed
daanvdh-JavaForger,regular javamop (ltw) failed
dadiyang-equator,ltw time too short
dadoonet-elasticsearch-beyonder,ctw failed
daimuuc-CampusLife-SSM-,ctw failed
DaisyDiff-DaisyDiff,ltw time too short
daisy-jhyphen,ltw time too short
damienclaveau-kafka-graphite,ctw time too short
damnhandy-Handy-URI-Templates,ctw time too short
dampcake-bencode,ltw time too short
danieldk-dictomaton,OK
danielwegener-logback-kafka-appender,ctw time too short
dano-vertx-zeromq,ctw failed
darmiel-eeee,ltw time too short
dart-maven-plugin-dart-maven-plugin,ltw time too short
DataDog-java-dogstatsd-client,OK
DataDog-jmeter-datadog-backend-listener,ctw time too short
datastax-native-protocol,ctw time too short
datoin-http-requests,ctw time too short
davidB-scala-maven-plugin,ltw time too short
DavidHerBet-java-codility,ltw time too short
davidmoten-aws-maven-plugin,ctw failed
davidmoten-bplustree,OK
davidmoten-guava-mini,ltw time too short
davidmoten-predict4java,ctw time too short
davidmoten-rtree,cannot remove hot methods
davidmoten-rtree2,cannot remove hot methods
davidmoten-rtree-multi,cannot remove hot methods
davidmoten-rxjava2-file,ctw time too short
davidmoten-rxjava-extras,regular javamop (ltw) failed
davidmoten-rxjava-jdbc,ctw failed
davidmoten-rxjava-slf4j,ctw time too short
davidmoten-word-wrap,ltw time too short
dbaggott-newrelic-dropwizard,ctw time too short
ddopson-java-class-enumerator,ltw time too short
deemogsw-rocketMQ-flink-connector,unknown
delthas-JavaMP3,ltw time too short
demidenko05-beigesoft-accounting,ltw time too short
demidenko05-beigesoft-webstore,ltw time too short
de-mklinger-tomcat-juli-slf4j,ltw time too short
deniswsrosa-liquicouch,ctw time too short
denniskniep-GQLRaider,ctw time too short
DenzelCode-AdvancedSQL,OK
dev-aspectj-aspectj-maven-plugin,ctw time too short
devcon5io-mutation-analysis-plugin,ctw time too short
devnied-Bit-lib4j,ltw time too short
devopshydclub-vprofile-project,ctw time too short
devopshydclub-vprofile-repo,ctw time too short
dgroup-docker-unittests,ctw time too short
dgroup-laconic-velocity,ctw time too short
dhananjaypatkar-kafka-connect-phoenix,ctw failed
dhatim-business-hours-java,ltw time too short
dibbhatt-kafka-spark-consumer,ltw time too short
didi-benchmark-thrift,OK
digipost-http-client-builder,ltw time too short
digitalfondue-npjt-extra,ctw time too short
digitalheir-java-nfa,ltw time too short
DigitalPebble-TextClassification,ltw time too short
digitalpetri-opc-ua-nodeset-parser,ltw time too short
digital-preservation-utf8-validator,ltw time too short
dikhan-pagerduty-client,OK
dingjs-javaagent,ltw time too short
dizitart-jbus,ctw time too short
dkellenb-formula-evaluator,ltw time too short
dmak-jaxb-xew-plugin,ctw time too short
dmcg-okey-doke,ltw time too short
dmeoli-WS4J,ctw time too short
dmitry-zhuravlev-jooq-postgis-spatial,ltw time too short
dnsjava-dnsjava,ctw failed
Doccrazy-keycloak-protocol-cas,ctw time too short
domclick-kafka-logback,ctw failed
dpaukov-combinatoricslib,ltw time too short
dperezcabrera-jpoker,OK
d-plaindoux-suitcase,ltw time too short
dpressel-sgdtk,ltw time too short
dreezey-argon2-password-hash-provider,ctw time too short
DReichLab-ADNA-Tools,ctw time too short
Driftt-EmailReplyParser,ltw time too short
drmacro-wordinator,ctw time too short
dropwizard-dropwizard-elasticsearch,ctw time too short
dropwizard-dropwizard-health,ctw failed
dsc-cmt-cmt-statemachine,ctw time too short
dspinellis-ckjm,ltw time too short
dsyer-spring-security-rsa,ltw time too short
dubasdey-portable-ftp-server,ctw time too short
dubin555-Kafka-Insight,ltw time too short
duguying-pinyin,ltw time too short
duma-repo-manis-study,ltw time too short
dyng-polling,ltw time too short
earcut4j-earcut4j,ltw time too short
eBay-bsonpatch,ctw time too short
eBay-FeedSDK,ctw time too short
eBay-json-comparison,ctw time too short
ECharts-Java-ECharts-Java,ctw time too short
echisan-wbp4j,ctw time too short
ecki-et-otp,ltw time too short
eclipse-jbom,ctw time too short
edagarli-azeroth-event,ctw time too short
edgexfoundry-support-rulesengine,ctw failed
e-gineering-gitflow-helper-maven-plugin,ltw time too short
eightbitjim-cassette-nibbler,OK
EladLeev-KeyToField-smt,ltw time too short
elasql-elasql,ltw time too short
elasticpath-json-unmarshaller,ctw time too short
ElectronicChartCentre-java-vector-tile,OK
EnterpriseQualityCoding-FizzBuzzEnterpriseEdition,ctw time too short
entrusc-xdata,ltw time too short
eolinker-sql2dsl,ctw time too short
erdtman-java-json-canonicalization,ltw time too short
errai-errai,ctw failed
esamson-logback-luhn-mask,ctw time too short
EsmerilProgramming-overtown,ctw time too short
EsotericSoftware-yamlbeans,ctw time too short
ethlo-jsons2xsd,ctw time too short
etsy-arbiter,ctw failed
etsy-statsd-jvm-profiler,ctw time too short
eurekaclinical-datastore,ctw time too short
eurekaclinical-javautil,ltw time too short
everwatchsolutions-json-data-generator,ltw time too short
exchange-core-orderbook,ctw time too short
EXIficient-exificient-core,ltw time too short
ExpediaGroup-avro-compatibility,ctw time too short
ExpediaGroup-datasqueeze,ctw failed
ExpediaGroup-jasvorno,ctw time too short
eyp-serfj,ctw time too short
f0ng-captcha-killer-modified,ltw time too short
f4b6a3-ksuid-creator,ltw time too short
f4b6a3-tsid-creator,OK
f4b6a3-ulid-creator,ltw time too short
f4b6a3-uuid-creator,OK
fabric8io-docker-maven-plugin,ctw failed
facebook-facebook-java-business-sdk,ctw time too short
FAIRdom-RightField,ctw failed
fanchaoo-forum,ctw failed
fanchaoo-hahu,ctw failed
fangyidong-json-simple,ltw time too short
fasseg-exp4j,ltw time too short
FasterXML-jackson-annotations,ltw time too short
