project,module,STANDARD_LIB,JAVAMOP,RVMONITOR,PROJECT,THIRD_PARTY_LIB,NATIVE,ASPECTJ,OTHER,VIOLATION,ASPECTJ_INSTRUMENTATION,ASPECTJ_RUNTIME,ASPECTJ_OTHER,MONITORING,SPECIFICATION,MOP_AND_AJC,RVMONITOR_LOCK,MONITORING_LOCK,LOCK,UNKNOWN,sum manual,sum profiler
2captcha-2captcha-java,2captcha-2captcha-java,0,0,11,6602,0,0,0,132,0,16569,23,11,17,7,269,0,3,0,0,23644,23644
3redronin-mu-server,3redronin-mu-server,0,0,226,15403,0,0,0,522,8,16453,138,16,902,341,164,51,120,4205,0,38549,38549
520github-fw-parallel-task,520github-fw-parallel-task,0,0,0,6,0,0,0,43,0,448,1,0,9,5,70,0,0,5995,0,6577,6577
520github-fw-perf-test,520github-fw-perf-test,0,0,0,2,0,0,0,40,0,510,0,0,3,7,175,0,0,500,0,1237,1237
520github-fw-statemachine,520github-fw-statemachine,0,0,1,1,0,0,0,34,0,559,1,0,5,6,185,0,0,0,0,792,792
6tail-lunar-java,6tail-lunar-java,0,0,17,126,0,0,0,78,0,2742,2,1,6,13,219,3,13,0,0,3220,3220
6tail-tyme4j,6tail-tyme4j,0,0,8,39,0,0,0,64,0,1273,1,0,11,29,162,0,1,0,0,1588,1588
abahgat-suffixtree,abahgat-suffixtree,0,0,147,18,0,0,0,159,0,650,3,0,29,15,187,25,28,0,0,1261,1261
AccelerationNet-access2csv,AccelerationNet-access2csv,0,0,4,9,0,0,0,38,1,783,17,0,13,12,71,0,1,0,0,949,949
acegi-xml-format-maven-plugin,acegi-xml-format-maven-plugin,0,0,6,128,0,0,0,102,0,11736,39,5,9,10,192,0,0,0,0,12227,12227
actiontech-dble,actiontech-dble,0,0,28,1941,0,0,0,289,0,29969,174,35,9,18,139,3,9,0,0,32614,32614
AdamBien-jwtenizr,AdamBien-jwtenizr,0,0,3,109,0,0,0,65,0,2777,45,1,14,7,225,0,0,0,0,3246,3246
AdamBien-xplr,AdamBien-xplr,0,0,2,20,0,0,0,44,0,557,1,0,9,5,158,0,0,0,0,796,796
addthis-stream-lib,addthis-stream-lib,0,0,27012,25806,0,0,0,8997,20,3452,225,0,1786,246678,448,4144,19891,0,0,338459,338459
adobe-htl-tck,adobe-htl-tck,0,0,2,46,0,0,0,47,0,1825,197,0,6,7,111,0,3,0,0,2244,2244
aehrc-ontology-core,ontology-import,0,0,3,46,0,0,0,54,0,1967,6,0,11,6,68,0,0,0,0,2161,2161
aehrc-ontology-core,ontology-model,0,0,9,224,0,0,0,151,0,20950,122,16,13,9,190,0,1,0,0,21685,21685
aelstad-keccakj,aelstad-keccakj,0,0,1578,14810,0,0,0,589,16,935,517,0,60,61,81,97,94,1,0,18839,18839
aerogear-aerogear-unifiedpush-java-client,aerogear-aerogear-unifiedpush-java-client,0,0,107,338,0,0,0,429,1,34293,52,7,43,25,500,19,27,0,0,35841,35841
afranken-jmeter-analysis-maven-plugin,afranken-jmeter-analysis-maven-plugin,0,0,7,265,0,0,0,83,0,6158,130,4,11,13,129,0,2,0,0,6802,6802
Afrozaar-wp-api-v2-client-java,Afrozaar-wp-api-v2-client-java,0,0,7,193,0,0,0,98,0,7973,170,5,11,9,109,1,1,0,0,8577,8577
afrunt-jach,afrunt-jach,0,0,37,80,0,0,0,39,1,1396,3,0,8,15,130,3,4,0,0,1716,1716
agarciadom-xeger,agarciadom-xeger,0,0,3515,1209,0,0,0,1873,1,2029,0,1,441,240,164,697,1068,0,0,11238,11238
agentgt-jatl,agentgt-jatl,0,0,3,8,0,0,0,45,0,661,2,1,7,5,186,0,0,0,0,918,918
agido-malter-logback-elasticsearch-appender,agido-malter-logback-elasticsearch-appender,0,0,2,20,0,0,0,85,0,1786,27,0,8,5,233,0,0,0,0,2166,2166
