project,module,STANDARD_LIB,JAVAMOP,RVMONITOR,PROJECT,THIRD_PARTY_LIB,NATIVE,ASPECTJ,OTHER,VIOLATION,ASPECTJ_INSTRUMENTATION,ASPECTJ_RUNTIME,ASPECTJ_OTHER,MONITORING,SPECIFICATION,MOP_AND_AJC,RVMONITOR_LOCK,MONITORING_LOCK,LOCK,UNKNOWN,sum manual,sum profiler
1015770492-excel-import-export,1015770492-excel-import-export,0,0,0,0,0,0,0,45,0,373,0,0,0,0,1,0,0,0,0,419,419
2captcha-2captcha-java,2captcha-2captcha-java,0,0,0,6568,0,0,0,114,0,16560,2,7,35,5,202,0,2,0,0,23495,23495
3redronin-mu-server,3redronin-mu-server,0,0,0,17719,0,0,0,543,344,18427,6,7,1189,355,150,37,93,4480,0,43350,43350
3scale-labs-3scale_ws_api_for_java,3scale-labs-3scale_ws_api_for_java,0,0,0,35,0,0,0,42,0,1637,0,0,25,8,125,0,0,0,0,1872,1872
520github-fw-parallel-task,520github-fw-parallel-task,0,0,0,3,0,0,0,49,0,439,1,0,14,7,68,0,0,5993,0,6574,6574
520github-fw-perf-test,520github-fw-perf-test,0,0,0,4,0,0,0,42,0,518,2,0,20,6,106,0,0,476,0,1174,1174
520github-fw-statemachine,520github-fw-statemachine,0,0,0,2,0,0,0,36,0,597,0,0,24,5,130,0,0,0,0,794,794
6ag-im-demo-netty-tcp-websocket,6ag-im-demo-netty-tcp-websocket,0,0,0,0,0,0,0,31,0,426,0,0,0,0,0,0,0,0,0,457,457
6tail-lunar-java,6tail-lunar-java,0,0,0,119,0,0,0,89,0,2918,1,2,51,7,176,2,11,0,0,3376,3376
6tail-tyme4j,6tail-tyme4j,0,0,0,44,0,0,0,68,0,1331,0,0,36,22,166,0,2,0,0,1669,1669
7sat-DynamicShop3,7sat-DynamicShop3,0,0,0,0,0,0,0,35,0,369,1,0,0,0,0,0,0,0,0,405,405
abahgat-suffixtree,abahgat-suffixtree,0,0,0,18,0,0,0,81,0,606,0,0,167,20,130,42,22,0,0,1086,1086
abranhe-allalgorithms-java,abranhe-allalgorithms-java,0,0,0,2,0,0,0,45,0,429,0,0,21,11,112,0,0,0,0,620,620
academia-de-codigo-prompt-view,academia-de-codigo-prompt-view,0,0,0,0,0,0,0,32,0,346,0,0,0,1,0,0,0,0,0,379,379
AccelerationNet-access2csv,AccelerationNet-access2csv,0,0,0,10,0,0,0,49,4,879,0,0,27,13,118,0,1,0,0,1101,1101
acegi-xml-format-maven-plugin,acegi-xml-format-maven-plugin,0,0,0,116,0,0,0,112,0,12086,1,1,53,10,210,0,1,0,0,12590,12590
aclement-spring-boot-graal-feature,aclement-spring-boot-graal-feature,0,0,0,0,0,0,0,34,0,230,0,0,16,5,67,0,0,0,0,352,352
actiontech-dble,actiontech-dble,0,0,0,1856,0,0,0,263,12,30398,0,31,65,19,172,6,4,1,0,32827,32827
AdamBien-jwtenizr,AdamBien-jwtenizr,0,0,0,130,0,0,0,57,0,2796,1,0,32,11,170,0,1,0,0,3198,3198
AdamBien-xplr,AdamBien-xplr,0,0,0,16,0,0,0,39,0,564,0,0,18,8,126,0,0,0,0,771,771
addthis-stream-lib,addthis-stream-lib,0,0,1,26766,0,0,0,7022,1276,2601,2,1,22252,213915,287,4766,15527,0,0,294416,294416
adelbs-ISO8583,adelbs-ISO8583,0,0,0,0,0,0,0,62,0,422,1,0,16,7,73,0,0,0,0,581,581
adobe-commerce-cif-magento-graphql,adobe-commerce-cif-magento-graphql,0,0,0,52,0,0,0,71,0,4604,1,1,28,11,44,0,4,0,0,4816,4816
adobe-htl-tck,adobe-htl-tck,0,0,0,20,0,0,0,42,0,2110,1,0,14,9,87,0,0,0,0,2283,2283
aehrc-ontology-core,ontology-import,0,0,0,40,0,0,0,63,0,1589,0,0,17,6,86,0,0,0,0,1801,1801
aehrc-ontology-core,ontology-model,0,0,0,191,0,0,0,202,1,17655,1,19,39,15,176,0,0,0,0,18299,18299
aelstad-keccakj,aelstad-keccakj,0,0,1,15129,0,0,0,478,1655,1026,511,0,1231,296,94,80,96,0,0,20597,20597
aerogear-aerogear-unifiedpush-java-client,aerogear-aerogear-unifiedpush-java-client,0,0,0,287,0,0,0,394,138,35101,5,7,161,42,391,19,26,0,0,36571,36571
afranken-jmeter-analysis-maven-plugin,afranken-jmeter-analysis-maven-plugin,0,0,0,247,0,0,0,108,18,6161,2,2,29,15,133,0,3,0,0,6718,6718
Afrozaar-wp-api-v2-client-java,Afrozaar-wp-api-v2-client-java,0,0,0,175,0,0,0,115,1,8357,1,2,21,9,110,0,1,0,0,8792,8792
afrunt-jach,afrunt-jach,0,0,0,58,0,0,0,45,8,1132,0,0,38,13,82,1,4,0,0,1381,1381
agarciadom-xeger,agarciadom-xeger,0,0,0,442,0,0,0,975,53,1384,0,2,2714,390,126,848,989,0,0,7923,7923
agentgt-jatl,agentgt-jatl,0,0,0,7,0,0,0,42,0,729,1,0,29,7,145,0,0,0,0,960,960
agido-malter-logback-elasticsearch-appender,agido-malter-logback-elasticsearch-appender,0,0,0,25,0,0,0,76,0,1893,2,0,24,6,152,1,1,0,0,2180,2180
agiledon-payroll-ddd,agiledon-payroll-ddd,0,0,0,156,0,0,0,89,0,12172,1,8,27,10,113,0,2,0,0,12578,12578
AgNO3-jcifs-ng,AgNO3-jcifs-ng,0,0,0,69,0,0,0,88,2,3230,1,2,14,9,265,0,1,0,0,3681,3681
agoncal-agoncal-application-petstore-ee7,agoncal-agoncal-application-petstore-ee7,0,0,0,188,0,0,0,133,0,13903,1,4,64,16,106,1,12,0,0,14428,14428
agrison-jtoml,agrison-jtoml,0,0,0,12,0,0,0,50,0,775,1,0,36,6,153,0,0,0,0,1033,1033
agrison-redux4j,agrison-redux4j,0,0,0,437,0,0,0,59,0,3047,1,0,26,11,112,0,0,0,0,3693,3693
aidhog-blabel,aidhog-blabel,0,0,0,21,0,0,0,42,0,1213,0,1,17,12,53,1,2,0,0,1362,1362
ainslec-picocog,ainslec-picocog,0,0,0,0,0,0,0,49,0,444,0,0,17,5,114,0,1,0,0,630,630
ajantis-java-crdt,ajantis-java-crdt,0,0,0,4,0,0,0,48,1,762,0,0,9,8,116,0,0,0,0,948,948
ajiniesta-flink-connector-mqtt,ajiniesta-flink-connector-mqtt,0,0,0,0,0,0,0,18,0,187,0,0,0,0,0,0,0,0,0,205,205
akamai-NetStorageKit-Java,akamai-NetStorageKit-Java,0,0,0,23,0,0,0,58,0,796,1,0,28,11,178,0,0,0,0,1095,1095
AlanDelip-SpringBoot-Template,AlanDelip-SpringBoot-Template,0,0,0,310,0,0,0,195,2,17551,2,13,49,13,242,2,2,0,0,18381,18381
alanhay-html-exporter,alanhay-html-exporter,0,0,0,766,0,0,0,358,12,36471,3,16,220,46,297,44,43,0,0,38276,38276
albfernandez-itext2,albfernandez-itext2,0,0,0,670,0,0,0,394,1090,14909,4,8,557,121,224,131,292,2,0,18402,18402
albfernandez-javadbf,albfernandez-javadbf,0,0,0,1029,0,0,0,154,8,1164,18,0,415,723,67,3,2763,0,0,6344,6344
aled-jsi,aled-jsi,0,0,0,95,0,0,0,244,694,2768,1,1,79,35,198,24,30,0,0,4169,4169
aleksandr-m-gitflow-maven-plugin,aleksandr-m-gitflow-maven-plugin,0,0,0,11,0,0,0,140,0,1267,0,2,14,7,77,0,1,1,0,1520,1520
alessio29-savagebot,alessio29-savagebot,0,0,0,300,0,0,0,139,30,13391,2,10,74,26,233,10,22,0,0,14237,14237
alex2chen-j-statemachine,alex2chen-j-statemachine,0,0,0,2,0,0,0,39,0,589,0,0,27,6,185,0,0,0,0,848,848
alexcojocaru-elasticsearch-maven-plugin,alexcojocaru-elasticsearch-maven-plugin,0,0,0,293,0,0,0,260,0,15132,3,0,146,29,187,19,17,0,0,16086,16086
alexnederlof-Jasper-report-maven-plugin,alexnederlof-Jasper-report-maven-plugin,0,0,0,160,0,0,0,173,2,6877,1,3,67,9,87,8,19,20983,0,28389,28389
